subject,f,itd_threshold
L1,250.0,61.0
L1,500.0,31.0
L1,700.0,17.0
L1,800.0,15.0
L1,900.0,15.0
L1,1000.0,11.0
L1,1200.0,17.0
L1,1250.0,19.0
L1,1300.0,29.0
L1,1350.0,59.0
L1,1400.0,133.0
L2,250.0,61.0
L2,500.0,29.0
L2,700.0,16.0
L2,800.0,11.0
L2,900.0,14.0
L2,1000.0,21.0
L2,1200.0,30.0
L2,1250.0,40.0
L2,1300.0,46.0
L2,1350.0,64.0
L2,1400.0,143.0
L3,250.0,37.0
L3,500.0,25.0
L3,700.0,18.0
L3,800.0,16.0
L3,900.0,17.0
L3,1000.0,23.0
L3,1200.0,41.0
L3,1250.0,37.0
L3,1300.0,54.0
L3,1350.0,139.0
L4,250.0,97.0
L4,500.0,53.0
L4,700.0,32.0
L4,800.0,42.0
L4,900.0,49.0
L4,1000.0,37.0
L4,1200.0,80.0
L4,1250.0,130.0
