subject,new_ears,azim_pred,elev_pred,azim_true,elev_true,azim_ref,elev_ref
PH,0.00000,-17.84810,15.56250,-20.00000,20.00000,-19.43380,19.74441
PH,0.00000,-3.79747,14.81250,-6.66667,20.00000,,
PH,0.00000,10.63291,13.68750,6.66667,20.00000,,
PH,0.00000,27.72152,12.00000,20.00000,20.00000,19.63481,19.74441
PH,0.00000,-19.55696,2.81250,-20.00000,6.66667,,
PH,0.00000,-5.31646,1.31250,-6.66667,6.66667,,
PH,0.00000,10.44304,-0.56250,6.66667,6.66667,,
PH,0.00000,26.58228,-1.31250,20.00000,6.66667,,
PH,0.00000,-20.88608,-12.37500,-20.00000,-6.66667,,
PH,0.00000,-4.93671,-13.12500,-6.66667,-6.66667,,
PH,0.00000,11.96203,-14.06250,6.66667,-6.66667,,
PH,0.00000,26.58228,-13.68750,20.00000,-6.66667,,
PH,0.00000,-19.17722,-26.62500,-20.00000,-20.00000,-20.34947,-19.28795
PH,0.00000,-3.98734,-28.31250,-6.66667,-20.00000,,
PH,0.00000,12.34177,-25.68750,6.66667,-20.00000,,
PH,0.00000,26.96203,-23.25000,20.00000,-20.00000,19.40589,-19.28795
MZ,0.00000,-22.46596,22.42502,-20.00000,20.00000,-19.74281,19.80470
MZ,0.00000,-10.84720,27.78192,-6.66667,20.00000,,
MZ,0.00000,3.04085,28.07436,6.66667,20.00000,,
MZ,0.00000,17.47352,21.12780,20.00000,20.00000,19.47050,19.86384
MZ,0.00000,-20.83207,13.19672,-20.00000,6.66667,,
MZ,0.00000,-9.21331,13.39524,-6.66667,6.66667,,
MZ,0.00000,2.58699,11.24109,6.66667,6.66667,,
MZ,0.00000,16.56581,6.55629,20.00000,6.66667,,
MZ,0.00000,-22.10287,-0.56085,-20.00000,-6.66667,,
MZ,0.00000,-9.21331,-3.25634,-6.66667,-6.66667,,
MZ,0.00000,3.85779,-5.04658,6.66667,-6.66667,,
MZ,0.00000,17.83661,-3.21554,20.00000,-6.66667,,
MZ,0.00000,-21.46747,-8.79519,-20.00000,-20.00000,-19.65204,-19.19969
MZ,0.00000,-8.30560,-13.11923,-6.66667,-20.00000,,
MZ,0.00000,4.13011,-14.36744,6.66667,-20.00000,,
MZ,0.00000,18.56278,-9.73029,20.00000,-20.00000,19.37973,-19.14082
JO,0.00000,-26.68086,20.56604,-20.00000,20.00000,-19.37243,19.73585
JO,0.00000,-13.02769,23.20755,-6.66667,20.00000,,
JO,0.00000,2.64900,22.75472,6.66667,20.00000,,
JO,0.00000,19.08287,23.20755,20.00000,20.00000,19.82355,19.73585
JO,0.00000,-31.33687,5.16981,-20.00000,6.66667,,
JO,0.00000,-17.07045,10.52830,-6.66667,6.66667,,
JO,0.00000,1.47369,10.90566,6.66667,6.66667,,
JO,0.00000,17.44847,9.54717,20.00000,6.66667,,
JO,0.00000,-33.57116,-7.66038,-20.00000,-6.66667,,
JO,0.00000,-18.34503,-7.66038,-6.66667,-6.66667,,
JO,0.00000,2.75595,-8.86792,6.66667,-6.66667,,
JO,0.00000,18.21020,-8.33962,20.00000,-6.66667,,
JO,0.00000,-32.10686,-19.13208,-20.00000,-20.00000,-19.59515,-19.35849
JO,0.00000,-16.06097,-21.62264,-6.66667,-20.00000,,
JO,0.00000,2.48004,-22.07547,6.66667,-20.00000,,
JO,0.00000,18.69148,-20.64151,20.00000,-20.00000,19.60027,-19.50943
JR,0.00000,-16.82707,22.22892,-20.00000,20.00000,-19.62406,19.69880
JR,0.00000,-5.63910,26.56627,-6.66667,20.00000,,
JR,0.00000,6.36090,27.92169,6.66667,20.00000,,
JR,0.00000,21.60902,23.58434,20.00000,20.00000,19.71429,19.69880
JR,0.00000,-21.06767,8.40361,-20.00000,6.66667,,
JR,0.00000,-5.63910,11.47590,-6.66667,6.66667,,
JR,0.00000,5.90977,14.63855,6.66667,6.66667,,
JR,0.00000,22.15038,10.84337,20.00000,6.66667,,
JR,0.00000,-24.49624,-3.88554,-20.00000,-6.66667,,
JR,0.00000,-6.63158,-5.96386,-6.66667,-6.66667,,
JR,0.00000,7.89474,-4.51807,6.66667,-6.66667,,
JR,0.00000,22.78195,-6.86747,20.00000,-6.66667,,
JR,0.00000,-24.76692,-16.17470,-20.00000,-20.00000,-19.53383,-19.33735
JR,0.00000,-8.43609,-20.06024,-6.66667,-20.00000,,
JR,0.00000,6.27068,-23.67470,6.66667,-20.00000,,
JR,0.00000,21.96992,-18.52410,20.00000,-20.00000,19.62406,-19.33735
PH,1.00000,-23.63353,-8.02985,-20.00000,20.00000,-19.66183,19.55224
PH,1.00000,-6.42689,-12.56716,-6.66667,20.00000,,
PH,1.00000,14.24802,-14.95522,6.66667,20.00000,,
PH,1.00000,28.11138,-16.14925,20.00000,20.00000,19.42172,19.43284
PH,1.00000,-25.42802,-9.70149,-20.00000,6.66667,,
PH,1.00000,-3.43967,-13.40299,-6.66667,6.66667,,
PH,1.00000,16.39787,-16.50746,6.66667,6.66667,,
PH,1.00000,30.38182,-16.62687,20.00000,6.66667,,
PH,1.00000,-21.24428,-9.22388,-20.00000,-6.66667,,
PH,1.00000,0.50384,-14.11940,-6.66667,-6.66667,,
PH,1.00000,14.84421,-16.38806,6.66667,-6.66667,,
PH,1.00000,27.98983,-18.17910,20.00000,-6.66667,,
PH,1.00000,-16.82292,-10.17910,-20.00000,-20.00000,-19.70072,-19.49254
PH,1.00000,-8.69959,-14.35821,-6.66667,-20.00000,,
PH,1.00000,13.40923,-17.10448,6.66667,-20.00000,,
PH,1.00000,30.02123,-18.65672,20.00000,-20.00000,19.44259,-19.61194
MZ,1.00000,-25.38462,14.83824,-20.00000,20.00000,-19.46746,19.42967
MZ,1.00000,-10.00000,15.05888,-6.66667,20.00000,,
MZ,1.00000,3.96450,15.39880,6.66667,20.00000,,
MZ,1.00000,19.11243,16.79846,20.00000,20.00000,19.46746,19.39143
MZ,1.00000,-25.50296,7.76566,-20.00000,6.66667,,
MZ,1.00000,-11.30178,11.28806,-6.66667,6.66667,,
MZ,1.00000,4.43787,12.56926,6.66667,6.66667,,
MZ,1.00000,18.75740,10.90490,20.00000,6.66667,,
MZ,1.00000,-23.01775,6.34868,-20.00000,-6.66667,,
MZ,1.00000,-9.17160,10.34294,-6.66667,-6.66667,,
MZ,1.00000,6.09467,11.27097,6.66667,-6.66667,,
MZ,1.00000,17.69231,8.66626,20.00000,-6.66667,,
MZ,1.00000,-23.96450,3.99205,-20.00000,-20.00000,-19.34911,-19.47025
MZ,1.00000,-9.76331,9.04686,-6.66667,-20.00000,,
MZ,1.00000,2.30769,11.03893,6.66667,-20.00000,,
MZ,1.00000,20.41420,8.42783,20.00000,-20.00000,19.46746,-19.62625
JO,1.00000,-34.89796,-18.30262,-20.00000,20.00000,-19.62099,19.52473
