azim_true,subject,smoothed,pct_correct
0,S1,1024,53.88194762
0,S1,512,53.15789719
0,S1,256,52.19249661
0,S1,128,49.05494471
0,S1,64,53.88194762
0,S1,32,59.91570126
0,S1,16,71.01780795
0,S1,8,95.03214743
0,S2,1024,56.05409893
0,S2,512,48.93426964
0,S2,256,51.83047139
0,S2,128,55.93342386
0,S2,64,47.84819399
0,S2,32,44.95199224
0,S2,16,54.0026227
0,S2,8,62.93257808
0,S3,1024,49.05494471
0,S3,512,47.12414355
0,S3,256,56.05409893
0,S3,128,52.07182153
0,S3,64,46.15874297
0,S3,32,59.07097575
0,S3,16,68.96633172
0,S3,8,86.22286712
0,S4,1024,45.67604268
0,S4,512,54.96802328
0,S4,256,52.91654704
0,S4,128,45.91739282
0,S4,64,57.9849001
0,S4,32,57.9849001
0,S4,16,69.9317323
0,S4,8,89.8431193
45,S1,1024,52.91654704
45,S1,512,53.03722211
45,S1,256,46.8827934
45,S1,128,45.79671775
45,S1,64,57.9849001
45,S1,32,55.20937342
45,S1,16,63.89797866
45,S1,8,89.11906887
45,S2,1024,44.95199224
45,S2,512,50.98574588
45,S2,256,53.88194762
45,S2,128,48.2102192
45,S2,64,43.98659166
45,S2,32,53.76127255
45,S2,16,57.9849001
45,S2,8,75.96548594
45,S3,1024,56.05409893
45,S3,512,53.15789719
45,S3,256,56.17477401
45,S3,128,43.02119108
45,S3,64,57.01949952
45,S3,32,55.20937342
45,S3,16,66.07012997
45,S3,8,86.10219205
45,S4,1024,57.01949952
45,S4,512,48.93426964
45,S4,256,50.98574588
45,S4,128,45.91739282
45,S4,64,56.89882444
45,S4,32,53.88194762
45,S4,16,71.98320854
45,S4,8,90.92919496
-45,S1,1024,47.96886906
-45,S1,512,55.93342386
-45,S1,256,53.27857226
-45,S1,128,58.95030068
-45,S1,64,48.81359457
-45,S1,32,57.01949952
-45,S1,16,63.17392823
-45,S1,8,78.98236275
-45,S2,1024,51.95114646
-45,S2,512,46.8827934
-45,S2,256,50.86507081
-45,S2,128,49.89967022
-45,S2,64,52.91654704
-45,S2,32,52.07182153
-45,S2,16,55.93342386
-45,S2,8,73.06928419
-45,S3,1024,53.39924733
-45,S3,512,54.0026227
-45,S3,256,53.15789719
-45,S3,128,48.45156935
-45,S3,64,51.10642095
-45,S3,32,49.05494471
-45,S3,16,61.24312706
-45,S3,8,74.27603492
-45,S4,1024,50.98574588
-45,S4,512,50.98574588
-45,S4,256,43.86591659
-45,S4,128,48.93426964
-45,S4,64,52.91654704
-45,S4,32,50.86507081
-45,S4,16,60.76042677
-45,S4,8,80.79248885
180,S1,1024,46.52076819
180,S1,512,56.53679922
180,S1,256,48.33089428
180,S1,128,51.58912124
180,S1,64,53.64059748
180,S1,32,52.43384675
180,S1,16,56.41612415
180,S1,8,58.58827546
180,S2,1024,54.48532299
180,S2,512,45.43469253
180,S2,256,49.65832008
180,S2,128,59.43300097
180,S2,64,48.45156935
180,S2,32,51.58912124
180,S2,16,58.46760039
180,S2,8,69.56970708
180,S3,1024,51.83047139
180,S3,512,52.79587197
180,S3,256,48.93426964
180,S3,128,56.77814937
180,S3,64,53.76127255
180,S3,32,54.96802328
180,S3,16,56.77814937
180,S3,8,64.98405432
180,S4,1024,48.33089428
180,S4,512,53.15789719
180,S4,256,47.12414355
180,S4,128,54.24397284
180,S4,64,51.10642095
180,S4,32,55.08869835
180,S4,16,58.22625024
180,S4,8,79.2237129
