azim,f,maa
0,250,1.206159676
0,500,1.01085057
0,750,0.910906957
0,1000,1.220020834
0,1250,1.623551374
0,1500,3.043001957
0,1750,3.14171568
0,2000,2.839024078
0,3000,1.720989671
0,4000,1.631307831
0,6000,1.621894584
0,8000,3.495657858
0,10000,2.562565813
30,250,1.698858891
30,500,1.716755368
30,750,1.612129362
30,1000,1.518471004
30,1250,3.032601782
30,1500,5.385549073
30,1750,6.662179324
30,2000,6.039350873
30,3000,6.562180294
30,4000,5.241072051
30,6000,5.294098105
30,8000,13.16078016
30,10000,3.845769362
45,250,2.501535832
45,500,2.212628953
45,750,1.925477741
45,1000,1.944679745
45,1250,2.236588653
45,1500,3.934326355
45,1750,6.37283403
45,2000,6.74838012
45,3000,8.729860806
45,4000,9.727842972
45,6000,6.106366778
45,8000,40
45,10000,12.67326728
60,250,3.60253852
60,500,3.257938762
60,750,3.517565748
60,1000,3.441752372
60,1250,4.942337785
60,1500,40
60,1750,40
60,2000,40
60,3000,5.373582428
60,4000,10.46388984
60,6000,12.34706288
60,8000,40
60,10000,40
75,250,6.581310102
75,500,7.550190144
75,750,8.177729048
75,1000,8.661630435
75,1250,40
75,1500,40
75,1750,40
75,2000,40
75,3000,6.730782152
75,4000,6.797728293
75,6000,40
75,8000,40
75,10000,40
