index_texture,snr,correct_word,fn_eval,tag_expt,tag_model
0.0,-3.0,0.4444444444444444,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
1.0,-3.0,0.5555555555555556,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
2.0,-3.0,1.0,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
3.0,-3.0,0.625,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
4.0,-3.0,0.4444444444444444,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
5.0,-3.0,0.5555555555555556,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
6.0,-3.0,0.2222222222222222,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
7.0,-3.0,0.1111111111111111,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
8.0,-3.0,0.7777777777777778,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
9.0,-3.0,0.3333333333333333,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
10.0,-3.0,0.875,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
11.0,-3.0,0.625,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
12.0,-3.0,0.875,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
13.0,-3.0,0.3333333333333333,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
14.0,-3.0,0.5555555555555556,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
15.0,-3.0,0.5,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
16.0,-3.0,0.625,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
17.0,-3.0,0.2222222222222222,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
18.0,-3.0,0.7777777777777778,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
19.0,-3.0,0.7777777777777778,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
20.0,-3.0,0.5555555555555556,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
21.0,-3.0,0.3333333333333333,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
22.0,-3.0,0.4444444444444444,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
23.0,-3.0,0.7777777777777778,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
24.0,-3.0,0.4444444444444444,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
25.0,-3.0,0.3333333333333333,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
26.0,-3.0,0.75,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
27.0,-3.0,0.3333333333333333,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
28.0,-3.0,0.1111111111111111,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
29.0,-3.0,1.0,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
30.0,-3.0,0.2222222222222222,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
31.0,-3.0,0.6666666666666666,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
32.0,-3.0,0.2222222222222222,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
33.0,-3.0,0.3333333333333333,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
34.0,-3.0,0.375,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
35.0,-3.0,0.625,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
36.0,-3.0,0.75,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
37.0,-3.0,0.7777777777777778,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
38.0,-3.0,0.4444444444444444,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
39.0,-3.0,0.0,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
40.0,-3.0,0.4444444444444444,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
41.0,-3.0,0.125,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
42.0,-3.0,0.4444444444444444,566a4cf27da0350012b4582d,speech_in_synthetic_textures,human
0.0,-3.0,0.25,56721761980a3c0011277389,speech_in_synthetic_textures,human
1.0,-3.0,0.4444444444444444,56721761980a3c0011277389,speech_in_synthetic_textures,human
2.0,-3.0,0.625,56721761980a3c0011277389,speech_in_synthetic_textures,human
3.0,-3.0,1.0,56721761980a3c0011277389,speech_in_synthetic_textures,human
4.0,-3.0,0.4285714285714285,56721761980a3c0011277389,speech_in_synthetic_textures,human
5.0,-3.0,0.4444444444444444,56721761980a3c0011277389,speech_in_synthetic_textures,human
6.0,-3.0,0.2857142857142857,56721761980a3c0011277389,speech_in_synthetic_textures,human
7.0,-3.0,0.4444444444444444,56721761980a3c0011277389,speech_in_synthetic_textures,human
8.0,-3.0,0.5555555555555556,56721761980a3c0011277389,speech_in_synthetic_textures,human
9.0,-3.0,0.5555555555555556,56721761980a3c0011277389,speech_in_synthetic_textures,human
10.0,-3.0,0.5,56721761980a3c0011277389,speech_in_synthetic_textures,human
11.0,-3.0,0.5714285714285714,56721761980a3c0011277389,speech_in_synthetic_textures,human
12.0,-3.0,0.5,56721761980a3c0011277389,speech_in_synthetic_textures,human
13.0,-3.0,0.125,56721761980a3c0011277389,speech_in_synthetic_textures,human
14.0,-3.0,0.625,56721761980a3c0011277389,speech_in_synthetic_textures,human
15.0,-3.0,0.2857142857142857,56721761980a3c0011277389,speech_in_synthetic_textures,human
16.0,-3.0,0.3333333333333333,56721761980a3c0011277389,speech_in_synthetic_textures,human
17.0,-3.0,0.75,56721761980a3c0011277389,speech_in_synthetic_textures,human
18.0,-3.0,0.7777777777777778,56721761980a3c0011277389,speech_in_synthetic_textures,human
19.0,-3.0,0.2857142857142857,56721761980a3c0011277389,speech_in_synthetic_textures,human
20.0,-3.0,0.625,56721761980a3c0011277389,speech_in_synthetic_textures,human
21.0,-3.0,0.2222222222222222,56721761980a3c0011277389,speech_in_synthetic_textures,human
22.0,-3.0,0.2857142857142857,56721761980a3c0011277389,speech_in_synthetic_textures,human
23.0,-3.0,0.8571428571428571,56721761980a3c0011277389,speech_in_synthetic_textures,human
24.0,-3.0,0.5714285714285714,56721761980a3c0011277389,speech_in_synthetic_textures,human
25.0,-3.0,0.5,56721761980a3c0011277389,speech_in_synthetic_textures,human
26.0,-3.0,0.3333333333333333,56721761980a3c0011277389,speech_in_synthetic_textures,human
27.0,-3.0,0.25,56721761980a3c0011277389,speech_in_synthetic_textures,human
28.0,-3.0,0.2222222222222222,56721761980a3c0011277389,speech_in_synthetic_textures,human
29.0,-3.0,0.8571428571428571,56721761980a3c0011277389,speech_in_synthetic_textures,human
30.0,-3.0,0.4444444444444444,56721761980a3c0011277389,speech_in_synthetic_textures,human
31.0,-3.0,0.5,56721761980a3c0011277389,speech_in_synthetic_textures,human
32.0,-3.0,0.4444444444444444,56721761980a3c0011277389,speech_in_synthetic_textures,human
33.0,-3.0,0.25,56721761980a3c0011277389,speech_in_synthetic_textures,human
34.0,-3.0,0.2857142857142857,56721761980a3c0011277389,speech_in_synthetic_textures,human
35.0,-3.0,0.8571428571428571,56721761980a3c0011277389,speech_in_synthetic_textures,human
36.0,-3.0,0.625,56721761980a3c0011277389,speech_in_synthetic_textures,human
37.0,-3.0,0.6666666666666666,56721761980a3c0011277389,speech_in_synthetic_textures,human
