arch01,arch02,arch03,arch04,arch05,arch06,arch07,arch08,arch09,arch0_0000,arch0_0001,arch0_0002,arch0_0004,arch0_0006,arch0_0007,arch0_0008,arch0_0009,arch0_0016,arch0_0017,arch10,arch_f00,arch_f04,arch_f05,arch_f06,arch_f09,arch_f11,arch_f13,arch_f15,arch_f17,arch_f20
"conv0 [1, 8, 32]","conv0 [2, 8, 32]","conv0 [1, 4, 32]","conv0 [3, 8, 32]","conv0 [2, 32, 32]","conv0 [1, 64, 32]","conv0 [1, 16, 32]","conv0 [1, 64, 32]","conv0 [3, 32, 32]",input_lnorm,input_lnorm,input_lnorm,input_lnorm,input_lnorm,input_lnorm,input_lnorm,input_lnorm,input_lnorm,input_lnorm,"conv0 [2, 4, 32]","conv0 [3, 53, 32]","conv0 [3, 53, 64]","conv0 [3, 53, 32]","conv0 [3, 53, 64]","conv0 [3, 53, 64]","conv0 [3, 53, 32]","conv0 [3, 53, 32]","conv0 [3, 53, 64]","conv0 [3, 53, 64]","conv0 [3, 53, 64]"
"mpool0 [1, 1]","mpool0 [1, 1]","mpool0 [1, 1]","mpool0 [1, 1]","mpool0 [1, 2]","mpool0 [1, 8]","mpool0 [1, 1]","mpool0 [1, 1]","mpool0 [1, 1]","conv0 [2, 42, 32]","conv0 [1, 84, 32]","conv0 [4, 21, 32]","conv0 [2, 42, 32]","conv0 [2, 42, 32]","conv0 [2, 42, 32]","conv0 [2, 42, 32]","conv0 [2, 42, 32]","conv0 [2, 42, 32]","conv0 [2, 42, 32]","mpool0 [2, 2]",relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0
relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,relu0,"hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]","hpool0 [1, 2]"
bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,"hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]","hpool0 [2, 4]",bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0,bnorm0
"conv1 [1, 64, 32]","conv1 [3, 16, 32]","conv1 [3, 32, 32]","conv1 [3, 8, 32]","conv1 [1, 4, 64]","conv1 [2, 4, 64]","conv1 [1, 8, 32]","conv1 [2, 16, 32]","conv1 [2, 16, 32]",lnorm0,lnorm0,lnorm0,lnorm0,lnorm0,lnorm0,lnorm0,lnorm0,lnorm0,lnorm0,"conv1 [2, 4, 32]","conv1 [1, 60, 64]","conv1 [1, 60, 64]","conv1 [1, 60, 128]","conv1 [1, 60, 128]","conv1 [3, 20, 128]","conv1 [1, 60, 64]","conv1 [3, 20, 64]","conv1 [1, 60, 64]","conv1 [1, 60, 128]","conv1 [3, 20, 128]"
"mpool1 [1, 1]","mpool1 [1, 1]","mpool1 [1, 8]","mpool1 [1, 2]","mpool1 [1, 4]","mpool1 [1, 1]","mpool1 [1, 2]","mpool1 [1, 8]","mpool1 [1, 4]","conv1 [2, 18, 64]","conv1 [2, 18, 64]","conv1 [2, 18, 64]","conv1 [4, 9, 64]","conv1 [2, 18, 64]","conv1 [2, 18, 64]","conv1 [2, 18, 64]","conv1 [2, 18, 64]","conv1 [2, 18, 64]","conv1 [2, 18, 64]","mpool1 [1, 4]",relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1
relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,relu1,"hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]"
bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,"hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]","hpool1 [2, 4]",bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1,bnorm1
"conv2 [1, 64, 32]","conv2 [2, 4, 32]","conv2 [3, 32, 64]","conv2 [1, 32, 64]","conv2 [3, 2, 64]","conv2 [1, 32, 64]","conv2 [2, 4, 64]","conv2 [2, 4, 64]","conv2 [2, 32, 64]",lnorm1,lnorm1,lnorm1,lnorm1,lnorm1,lnorm1,lnorm1,lnorm1,lnorm1,lnorm1,"conv2 [3, 16, 64]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]","conv2 [3, 46, 128]"
"mpool2 [1, 8]","mpool2 [1, 8]","mpool2 [1, 1]","mpool2 [1, 1]","mpool2 [1, 1]","mpool2 [2, 4]","mpool2 [1, 1]","mpool2 [1, 1]","mpool2 [1, 1]","conv2 [6, 6, 128]","conv2 [6, 6, 128]","conv2 [6, 6, 128]","conv2 [6, 6, 128]","conv2 [12, 3, 128]","conv2 [6, 6, 128]","conv2 [6, 6, 128]","conv2 [6, 6, 128]","conv2 [6, 6, 128]","conv2 [6, 6, 128]","mpool2 [1, 2]",relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2,relu2
