word,wsn,cv
,0.0,0.0
ability,1.0,
about,2.0,1.0
above,3.0,2.0
accepted,4.0,
according,5.0,4.0
account,6.0,
across,7.0,5.0
action,8.0,6.0
active,9.0,7.0
activities,10.0,8.0
activity,11.0,9.0
actually,12.0,10.0
added,13.0,11.0
addition,14.0,12.0
additional,15.0,13.0
advanced,16.0,
africa,17.0,14.0
after,18.0,15.0
again,19.0,16.0
against,20.0,17.0
agency,21.0,
agreed,22.0,
agreement,23.0,
allow,24.0,
allowed,25.0,22.0
almost,26.0,23.0
alone,27.0,24.0
along,28.0,25.0
already,29.0,26.0
alternative,30.0,
although,31.0,27.0
always,32.0,28.0
america,33.0,29.0
american,34.0,30.0
americans,35.0,
among,36.0,31.0
amount,37.0,
analysts,38.0,
ancient,39.0,32.0
animals,40.0,33.0
announced,41.0,
annual,42.0,
another,43.0,34.0
appear,44.0,37.0
appearance,45.0,38.0
appeared,46.0,39.0
appears,47.0,40.0
appointed,48.0,41.0
approach,49.0,
approximately,50.0,
april,51.0,
areas,52.0,42.0
around,53.0,43.0
article,54.0,
asked,55.0,45.0
assets,56.0,
associated,57.0,46.0
association,58.0,47.0
attack,59.0,48.0
attacks,60.0,
attempt,61.0,
attempted,62.0,
attended,63.0,49.0
attention,64.0,
august,65.0,
authority,66.0,
available,67.0,52.0
avoid,68.0,
award,69.0,53.0
banks,70.0,
based,71.0,55.0
basis,72.0,
battle,73.0,56.0
became,74.0,58.0
because,75.0,59.0
become,76.0,60.0
becoming,77.0,
before,78.0,61.0
began,79.0,62.0
beginning,80.0,63.0
behind,81.0,64.0
being,82.0,65.0
believe,83.0,66.0
believed,84.0,67.0
below,85.0,68.0
better,86.0,69.0
between,87.0,70.0
beyond,88.0,
billion,89.0,
black,90.0,72.0
board,91.0,74.0
books,92.0,75.0
britain,93.0,
british,94.0,80.0
brought,95.0,83.0
budget,96.0,
build,97.0,
building,98.0,85.0
built,99.0,87.0
business,100.0,89.0
california,101.0,90.0
called,102.0,91.0
calls,103.0,
canadian,104.0,95.0
cannot,105.0,96.0
capital,106.0,97.0
career,107.0,98.0
carried,108.0,99.0
cases,109.0,100.0
cause,110.0,102.0
caused,111.0,103.0
center,112.0,105.0
central,113.0,106.0
cents,114.0,
century,115.0,
certain,116.0,108.0
chairman,117.0,
change,118.0,109.0
changed,119.0,110.0
changes,120.0,111.0
character,121.0,112.0
characters,122.0,113.0
charles,123.0,115.0
chief,124.0,116.0
child,125.0,117.0
children,126.0,118.0
china,127.0,119.0
civil,128.0,124.0
claim,129.0,
claimed,130.0,
claims,131.0,
class,132.0,125.0
clear,133.0,126.0
close,134.0,127.0
closed,135.0,128.0
coast,136.0,130.0
college,137.0,132.0
coming,138.0,135.0
commercial,139.0,136.0
commission,140.0,
committee,141.0,
common,142.0,137.0
community,143.0,139.0
companies,144.0,140.0
company,145.0,141.0
company's,146.0,
compared,147.0,
competition,148.0,
complete,149.0,142.0
completed,150.0,143.0
complex,151.0,145.0
concept,152.0,147.0
conditions,153.0,
conference,154.0,
conflict,155.0,
congress,156.0,
conservative,157.0,
considered,158.0,148.0
construction,159.0,150.0
contains,160.0,151.0
continue,161.0,152.0
continued,162.0,153.0
contract,163.0,
control,164.0,155.0
corporation,165.0,
costs,166.0,
could,167.0,156.0
country,168.0,160.0
county,169.0,161.0
course,170.0,163.0
court,171.0,164.0
cover,172.0,165.0
create,173.0,
created,174.0,167.0
creation,175.0,
critical,176.0,
criticism,177.0,
critics,178.0,
cross,179.0,169.0
culture,180.0,170.0
current,181.0,171.0
currently,182.0,172.0
damage,183.0,
david,184.0,175.0
death,185.0,176.0
december,186.0,
decided,187.0,177.0
decision,188.0,
decline,189.0,
declined,190.0,
defense,191.0,
department,192.0,179.0
described,193.0,180.0
design,194.0,182.0
designed,195.0,183.0
despite,196.0,184.0
determined,197.0,
developed,198.0,185.0
developing,199.0,
development,200.0,186.0
didn't,201.0,187.0
different,202.0,188.0
difficult,203.0,189.0
direct,204.0,
directly,205.0,
director,206.0,191.0
discovered,207.0,
distance,208.0,192.0
district,209.0,193.0
doctor,210.0,196.0
doesn't,211.0,197.0
dollar,212.0,
dollars,213.0,
domestic,214.0,
don't,215.0,199.0
double,216.0,
during,217.0,201.0
earlier,218.0,202.0
early,219.0,203.0
earth,220.0,204.0
education,221.0,208.0
effect,222.0,209.0
effects,223.0,
effort,224.0,
efforts,225.0,
eight,226.0,210.0
eighteen,227.0,
eighty,228.0,
either,229.0,211.0
elected,230.0,212.0
elements,231.0,
eleven,232.0,
encyclopedia,233.0,
ended,234.0,214.0
energy,235.0,
english,236.0,217.0
enough,237.0,218.0
entire,238.0,220.0
equipment,239.0,
especially,240.0,223.0
established,241.0,224.0
estate,242.0,
estimated,243.0,
event,244.0,227.0
events,245.0,228.0
eventually,246.0,229.0
every,247.0,230.0
evidence,248.0,233.0
example,249.0,234.0
except,250.0,235.0
exchange,251.0,
executive,252.0,
expected,253.0,
experience,254.0,237.0
failed,255.0,238.0
family,256.0,239.0
famous,257.0,240.0
feature,258.0,242.0
featured,259.0,243.0
february,260.0,
federal,261.0,
fiction,262.0,
field,263.0,247.0
fifteen,264.0,
fifth,265.0,
fifty,266.0,
final,267.0,250.0
financial,268.0,
first,269.0,254.0
followed,270.0,257.0
following,271.0,258.0
force,272.0,260.0
forced,273.0,261.0
forces,274.0,262.0
foreign,275.0,
formation,276.0,
formed,277.0,264.0
former,278.0,265.0
forms,279.0,266.0
forty,280.0,
found,281.0,268.0
foundation,282.0,
founded,283.0,269.0
fourteen,284.0,
fourth,285.0,270.0
france,286.0,271.0
french,287.0,272.0
friends,288.0,275.0
front,289.0,276.0
funds,290.0,
further,291.0,278.0
future,292.0,279.0
games,293.0,280.0
general,294.0,282.0
generally,295.0,283.0
german,296.0,285.0
given,297.0,288.0
giving,298.0,
global,299.0,
going,300.0,290.0
government,301.0,291.0
great,302.0,293.0
greater,303.0,
ground,304.0,296.0
group,305.0,297.0
groups,306.0,298.0
growing,307.0,
growth,308.0,
having,309.0,304.0
health,310.0,305.0
heavy,311.0,308.0
helped,312.0,309.0
higher,313.0,310.0
highest,314.0,
highly,315.0,311.0
himself,316.0,312.0
historical,317.0,314.0
history,318.0,315.0
holding,319.0,
hours,320.0,318.0
house,321.0,319.0
however,322.0,321.0
human,323.0,322.0
hundred,324.0,323.0
immediately,325.0,325.0
impact,326.0,
important,327.0,326.0
include,328.0,327.0
included,329.0,328.0
includes,330.0,329.0
including,331.0,330.0
income,332.0,
incorporated,333.0,
increase,334.0,
increased,335.0,331.0
increasing,336.0,
increasingly,337.0,
independent,338.0,332.0
index,339.0,
individual,340.0,
individuals,341.0,
industrial,342.0,
industry,343.0,335.0
inflation,344.0,
influence,345.0,336.0
information,346.0,337.0
initial,347.0,
initially,348.0,338.0
inside,349.0,339.0
instance,350.0,
instead,351.0,340.0
intended,352.0,
interest,353.0,341.0
international,354.0,342.0
introduced,355.0,
investment,356.0,
investors,357.0,
involved,358.0,344.0
island,359.0,345.0
isn't,360.0,347.0
issue,361.0,348.0
issued,362.0,
issues,363.0,349.0
itself,364.0,351.0
james,365.0,352.0
january,366.0,
japan,367.0,353.0
japanese,368.0,354.0
joined,369.0,355.0
judge,370.0,
killed,371.0,357.0
kingdom,372.0,
known,373.0,358.0
labor,374.0,
large,375.0,361.0
largely,376.0,
larger,377.0,362.0
largest,378.0,363.0
later,379.0,364.0
latin,380.0,
launched,381.0,
leader,382.0,365.0
leadership,383.0,
leading,384.0,366.0
least,385.0,369.0
leave,386.0,370.0
leaving,387.0,372.0
legal,388.0,
letter,389.0,
letters,390.0,
level,391.0,374.0
levels,392.0,
light,393.0,376.0
likely,394.0,
limited,395.0,377.0
lines,396.0,378.0
little,397.0,380.0
lived,398.0,381.0
living,399.0,383.0
local,400.0,384.0
located,401.0,385.0
london,402.0,387.0
longer,403.0,388.0
looking,404.0,390.0
lower,405.0,391.0
magazine,406.0,393.0
mainly,407.0,394.0
major,408.0,395.0
majority,409.0,396.0
makes,410.0,397.0
making,411.0,398.0
management,412.0,
manager,413.0,
march,414.0,
market,415.0,400.0
markets,416.0,
material,417.0,403.0
matter,418.0,404.0
meaning,419.0,406.0
means,420.0,407.0
media,421.0,408.0
medical,422.0,409.0
meeting,423.0,
member,424.0,410.0
members,425.0,411.0
michael,426.0,414.0
might,427.0,416.0
miles,428.0,417.0
military,429.0,418.0
million,430.0,
minister,431.0,419.0
mission,432.0,
modern,433.0,425.0
money,434.0,427.0
month,435.0,428.0
months,436.0,429.0
morning,437.0,430.0
mostly,438.0,431.0
moved,439.0,435.0
movement,440.0,436.0
music,441.0,441.0
musical,442.0,442.0
named,443.0,443.0
names,444.0,444.0
national,445.0,445.0
native,446.0,446.0
natural,447.0,447.0
nature,448.0,448.0
nearly,449.0,
needed,450.0,450.0
never,451.0,453.0
night,452.0,455.0
nineteen,453.0,
nineteenth,454.0,
ninety,455.0,
north,456.0,456.0
northern,457.0,457.0
noted,458.0,459.0
notes,459.0,
nothing,460.0,460.0
novel,461.0,461.0
november,462.0,
nuclear,463.0,
number,464.0,462.0
numbers,465.0,463.0
numerous,466.0,464.0
occurred,467.0,
october,468.0,
offer,469.0,465.0
offered,470.0,466.0
office,471.0,468.0
officer,472.0,
official,473.0,469.0
officials,474.0,
often,475.0,470.0
opened,476.0,472.0
opening,477.0,
operating,478.0,
operation,479.0,
operations,480.0,475.0
order,481.0,476.0
organization,482.0,
original,483.0,478.0
originally,484.0,479.0
other,485.0,480.0
others,486.0,481.0
outside,487.0,482.0
paper,488.0,484.0
parents,489.0,485.0
particular,490.0,488.0
particularly,491.0,489.0
parts,492.0,490.0
party,493.0,491.0
passed,494.0,492.0
peace,495.0,
people,496.0,493.0
percent,497.0,
performance,498.0,494.0
performed,499.0,495.0
period,500.0,496.0
person,501.0,497.0
personal,502.0,498.0
physical,503.0,
place,504.0,502.0
placed,505.0,503.0
planned,506.0,
plans,507.0,506.0
plant,508.0,507.0
played,509.0,508.0
player,510.0,509.0
players,511.0,510.0
playing,512.0,511.0
point,513.0,514.0
points,514.0,
police,515.0,515.0
political,516.0,516.0
popular,517.0,518.0
population,518.0,519.0
position,519.0,520.0
possible,520.0,521.0
potential,521.0,
power,522.0,522.0
powers,523.0,
practice,524.0,523.0
presence,525.0,
present,526.0,524.0
presented,527.0,
press,528.0,
pressure,529.0,
prevent,530.0,
previous,531.0,526.0
previously,532.0,527.0
price,533.0,
prices,534.0,
primarily,535.0,528.0
primary,536.0,529.0
prime,537.0,
prior,538.0,
private,539.0,530.0
probably,540.0,531.0
problem,541.0,532.0
problems,542.0,533.0
process,543.0,534.0
produce,544.0,
produced,545.0,535.0
product,546.0,
production,547.0,536.0
products,548.0,537.0
professional,549.0,538.0
profit,550.0,
program,551.0,539.0
programs,552.0,540.0
project,553.0,541.0
property,554.0,542.0
proposal,555.0,
proposed,556.0,
protection,557.0,
provide,558.0,543.0
provided,559.0,544.0
public,560.0,547.0
published,561.0,548.0
quality,562.0,
quarter,563.0,
question,564.0,
quickly,565.0,549.0
quite,566.0,550.0
radio,567.0,551.0
raised,568.0,554.0
range,569.0,555.0
rates,570.0,
rather,571.0,556.0
reach,572.0,
reached,573.0,557.0
reason,574.0,560.0
receive,575.0,
received,576.0,561.0
recent,577.0,562.0
recently,578.0,563.0
record,579.0,564.0
recorded,580.0,565.0
records,581.0,566.0
reduced,582.0,
referred,583.0,567.0
refused,584.0,
region,585.0,568.0
regular,586.0,570.0
related,587.0,571.0
relationship,588.0,572.0
relatively,589.0,
release,590.0,573.0
released,591.0,574.0
religious,592.0,
remain,593.0,
remained,594.0,575.0
remaining,595.0,
remains,596.0,576.0
replaced,597.0,578.0
report,598.0,
reported,599.0,
reports,600.0,
required,601.0,579.0
research,602.0,580.0
response,603.0,
result,604.0,581.0
resulting,605.0,
results,606.0,582.0
