f,itd_threshold_list,itd_threshold_mean,itd_threshold_sem,log_itd_threshold_list,log_itd_threshold_mean,log_itd_threshold_sem,tag_model
250.0,"[61.0, 61.0, 37.0, 97.0]",64.0,12.36931687685298,"[4.110873864173311, 4.110873864173311, 3.6109179126442243, 4.574710978503383]",4.101844154873557,0.1968024981843579,human
500.0,"[31.0, 29.0, 25.0, 53.0]",34.5,6.2915286960589585,"[3.4339872044851463, 3.367295829986474, 3.2188758248682006, 3.970291913552122]",3.497612693222986,0.1638471276251447,human
700.0,"[17.0, 16.0, 18.0, 32.0]",20.75,3.7721567659187585,"[2.833213344056216, 2.772588722239781, 2.8903717578961645, 3.4657359027997265]",2.990477431747972,0.1602340068078666,human
800.0,"[15.0, 11.0, 16.0, 42.0]",21.0,7.082843120291926,"[2.70805020110221, 2.3978952727983707, 2.772588722239781, 3.7376696182833684]",2.9040509536059327,0.28965673140376447,human
900.0,"[15.0, 14.0, 17.0, 49.0]",23.75,8.4397373576828,"[2.70805020110221, 2.6390573296152584, 2.833213344056216, 3.8918202981106265]",3.018035293221078,0.29402018665074736,human
1000.0,"[11.0, 21.0, 23.0, 37.0]",23.0,5.354126134736338,"[2.3978952727983707, 3.044522437723423, 3.1354942159291497, 3.6109179126442243]",3.0472074597737917,0.24952914851209257,human
1200.0,"[17.0, 30.0, 41.0, 80.0]",42.0,13.583077707206124,"[2.833213344056216, 3.4011973816621555, 3.713572066704308, 4.382026634673881]",3.5825023567741403,0.3228420483756259,human
1250.0,"[19.0, 40.0, 37.0, 130.0]",56.5,24.934915279583365,"[2.9444389791664403, 3.6888794541139363, 3.6109179126442243, 4.867534450455582]",3.7779426990950458,0.3997674508035111,human
1300.0,"[29.0, 46.0, 54.0]",43.0,7.371114795831994,"[3.367295829986474, 3.828641396489095, 3.9889840465642745]",3.7283070910132814,0.1863458158902482,human
1350.0,"[59.0, 64.0, 139.0]",87.33333333333333,25.873624493766705,"[4.07753744390572, 4.1588830833596715, 4.9344739331306915]",4.390298153465361,0.273099333360178,human
1400.0,"[133.0, 143.0]",138.0,5.0,"[4.890349128221754, 4.962844630259907]",4.92659687924083,0.036247751019076624,human
250.0,"[79.46257999334028, 105.4905407864359, 87.2184237641432, 43.170341827443494, 62.62921457072556, 108.39098688636982, 37.57682470885503, 222.85890291076956, 320.0, 103.888641870864]",117.06864573189469,27.849714214477377,"[4.375286218942408, 4.658621288104276, 4.468415590296989, 3.7651537277070704, 4.1372318556751235, 4.6857449387439525, 3.6263874962391953, 5.406538848833613, 5.768320995793772, 4.643319574236032]",4.553502053457243,0.2090555006194243,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
300.0,"[77.88737733858169, 232.8589510588632, 97.70791750079603, 44.69437239497014, 84.2362310918535, 69.33409134752408, 36.41330840035974, 160.1238377707292, 320.0, 64.03014389811399]",118.72862308017916,29.104732327718626,"[4.35526390301539, 5.450432909998806, 4.581982594667985, 3.7998475964895575, 4.4336251266996545, 4.2389367238704265, 3.5949343232161715, 5.075947501928132, 5.768320995793772, 4.159353970882769]",4.5458645646562665,0.2198046388394629,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
350.0,"[98.95507515460457, 184.07577005468437, 110.10484048074277, 47.02509930503427, 286.42879841694247, 62.727321081550066, 33.67720446416802, 132.35440082855462, 320.0, 43.66432350094248]",131.90128332872237,32.139545471967686,"[4.594665960825295, 5.215347466620656, 4.701433007164979, 3.8506814869346626, 5.6574899831631456, 4.138797095657928, 3.516821183083832, 4.885483179563849, 5.768320995793772, 3.7765313728095173]",4.610557173161764,0.24895733714025423,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
400.0,"[91.48340037011442, 294.39184370836637, 110.15456744337696, 49.83720009389152, 320.0, 50.49563643141831, 40.94383988803198, 126.87567771052544, 320.0, 37.971867856659365]",144.21540335023843,37.74743956862443,"[4.516157539103411, 5.6849116816759855, 4.7018845380571, 3.908761695009739, 5.768320995793772, 3.9218869252493413, 3.7122013688986493, 4.8432076913425774, 5.768320995793772, 3.6368455659929384]",4.646249899691728,0.27112218097066604,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
450.0,"[66.23769640624948, 320.0, 93.95315358185489, 43.75193597040718, 197.23318663005745, 69.36996684257848, 48.75134283591822, 298.78583507234794, 320.0, 36.85872153170493]",149.49418388711186,38.46572868046588,"[4.193249732996587, 5.768320995793772, 4.542796291893839, 3.778535862576752, 5.28438671720857, 4.239454019417832, 3.8867327424166587, 5.699727046085254, 5.768320995793772, 3.6070922672045893]",4.676861667138763,0.27521277057648863,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
500.0,"[36.0575227725937, 320.0, 53.497917552547264, 37.5491275747369, 48.483145871773765, 39.060300016827306, 42.19542917606114, 60.89139646781689, 286.51281743258915, 33.89328656978832]",95.81409434347344,34.764539831050364,"[3.585115518038629, 5.768320995793772, 3.9796427288929395, 3.625650144244815, 3.881216229750131, 3.665106606341393, 3.74231190181217, 4.1090918916294115, 5.657783273138685, 3.5232169584851993]",4.153745624812714,0.26632057029014616,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
550.0,"[30.781984063943135, 320.0, 39.312857162443684, 37.18100224939497, 39.80154867871157, 31.823405150243236, 33.09584497258611, 53.834464908393734, 261.8715701825028, 30.99470322153824]",87.86973805897574,34.187768670578755,"[3.426929585850629, 5.768320995793772, 3.671551619632583, 3.615797938610849, 3.6839058230587747, 3.460202030076792, 3.499407744974406, 3.985913873743847, 5.5678541934355135, 3.4338163260649135]",4.011370013124208,0.28147201875089656,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
600.0,"[28.83988848449995, 320.0, 62.60686854293452, 37.87890580985156, 46.17784479216933, 28.982056194951337, 32.168452318044245, 38.98593290729698, 320.0, 28.209799391898734]",94.38497484416466,37.74531522077718,"[3.361759445713709, 5.768320995793772, 4.136874993220269, 3.6343943822051012, 3.832500133113796, 3.366676886582288, 3.4709862306141295, 3.6632008863789793, 5.768320995793772, 3.33966941374788]",4.03427043631637,0.299265897426366,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
650.0,"[28.245205838823594, 320.0, 160.44837255136022, 35.859844129519544, 51.76233647880531, 30.88062910772536, 31.324721431681578, 39.87897496606267, 312.15457846859385, 27.541688317663446]",103.80963512902356,37.54501681319582,"[3.3409237383705537, 5.768320995793772, 5.077972224477689, 3.5796181215283753, 3.9466627897999063, 3.4301290976085554, 3.444407607899225, 3.6858492418060056, 5.743498508927317, 3.315700795621318]",4.133308312183272,0.3156192925115333,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
