azim_ref,log_maa_list,log_maa_mean,log_maa_sem,maa_list,maa_mean,maa_sem,tag_model
0,"[0.18744149086741144, 0.01079212495992114, -0.09331451975916617]",0.03497303202272214,0.08194413051081938,"[1.206159676, 1.01085057, 0.910906957]",1.0426390676666666,0.08670144838688496,human
30,"[0.5299567850911084, 0.5404360953522632, 0.47755589024427986]",0.5159829235625505,0.019450206966508066,"[1.698858891, 1.716755368, 1.612129362]",1.6759145403333333,0.03230832041190133,human
45,"[0.9169048760490089, 0.7941813800433183, 0.6551741140917519]",0.7887534567280263,0.07560389033711407,"[2.501535832, 2.212628953, 1.925477741]",2.213214175333333,0.1662939043937225,human
60,"[1.2816387414089758, 1.1810947138092187, 1.2577692015161548]",1.240167552244783,0.03032951760413974,"[3.60253852, 3.257938762, 3.517565748]",3.459347676666667,0.1036488562016716,human
75,"[1.8842338291661416, 2.0215727475795675, 2.1014144895765097]",2.002407022107406,0.0634227971335402,"[6.581310102, 7.550190144, 8.177729048]",7.436409764666666,0.46434464349513277,human
0,"[-0.6262308819769192, 0.06914894106081704, 0.3073613203464017, -0.02109538872444516, -0.24882710735313274, 0.058377004810671096, 0.5243935183825524, -0.00015833323346882422, -0.023847091050168617, 0.5762264804570255]",0.06153484627193332,0.11189848320746007,"[0.5497571623878948, 1.0875397738941963, 1.4127916189856002, 1.015348098848799, 0.8057061146520458, 1.1905907890467942, 1.7511164067848153, 1.0092383742027373, 0.9923978972108843, 1.9151136234798807]",1.172959985949365,0.13155859045303506,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
5,"[-0.5515351657796562, 0.10589224950704205, 0.36754982024234123, -0.04869766967122328, -0.22499538945279784, 0.1148917601469757, 0.5417081428877711, -0.01450252408378061, -0.008201074181793283, 0.5996127023964151]",0.0881722852011294,0.11016193887012268,"[0.5933477115878368, 1.1322533374922388, 1.5101086679920492, 0.9925134056120736, 0.8293105650259012, 1.2353793313097061, 1.8025450307797897, 0.9970957834654924, 1.0155423602053, 1.99896310332294]",1.2107059296793328,0.13848177431900008,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
10,"[-0.3791158827351116, 0.18669384650844176, 0.5488253374895353, -0.06711818317393198, -0.12512873687214207, 0.09621186743408013, 0.5326571498402656, -0.02309930437262093, -0.0031021559465516982, 0.5817678427926861]",0.13485917809646505,0.10274359428124777,"[0.705817243327035, 1.2344870777915817, 1.8180005506255539, 0.9710234349742657, 0.9092508852863147, 1.2022010196821664, 1.8148599699684589, 0.9923248351815147, 1.029282562852877, 2.048759762832124]",1.2726007342521892,0.1446187118901037,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
15,"[-0.11380656185924538, 0.3065125236124285, 0.7572757941689715, -0.04551845667286559, 0.0410618058888488, 0.062237325010403605, 0.5996209614399306, -0.06613307623087478, 0.04878900452232541, 0.5563836462336658]",0.21464229661135886,0.10017478228328837,"[0.9310658309946477, 1.4256066863072938, 2.318716638637105, 0.9973766723603493, 1.072447425170688, 1.1177058819664818, 2.214332308098182, 0.9554478171834483, 1.0998659231743837, 1.9579975464557748]",1.4090562730348355,0.17240349113620346,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
20,"[0.2076600688686109, 0.4791854191786338, 0.9370945660460143, 0.016163014868038516, 0.2910575180311756, 0.17743200267154746, 0.6760250695147727, -0.08609741148731515, 0.18208949362140725, 0.5616857011910321]",0.34422954425039176,0.09974833395610747,"[1.3034122112070288, 1.7682169932499, 2.9253483739675237, 1.0729392102481141, 1.4356564082252314, 1.2392961814500314, 2.338099077994441, 0.9381622995876319, 1.2843846196012558, 1.870863475281557]",1.6176378850812714,0.1960840877994598,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
25,"[0.43159239905979185, 0.6794273968569625, 1.064760270878249, 0.12046988580573668, 0.5647545669174784, 0.3581724543985871, 0.650247927544945, -0.05185271836931444, 0.3646896996438027, 0.5610938800086562]",0.4743355762744895,0.09813538516811916,"[1.6073124712618572, 2.253899954512427, 3.4829689213246424, 1.1848942102848812, 1.9723722404871735, 1.5212627647608254, 2.0868019229272785, 0.9779752223879538, 1.57502548705843, 1.9161014042429496]",1.8578614599248418,0.2198457406359613,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
30,"[0.6004845180948704, 0.8776628159735651, 1.1521793218058713, 0.2686939997822431, 0.789230392295084, 0.6528163020910793, 0.6301019473033443, 0.021616172931480198, 0.599229661981772, 0.6110762905207325]",0.6203091422780043,0.09785436401752706,"[1.9288364302369958, 2.844893973618342, 3.964772301937257, 1.3736444572743551, 2.451703085799726, 2.223441520830452, 1.9914751739851628, 1.05975927853543, 2.072389661746131, 2.203164965122038]",2.211408084908589,0.25186484702724937,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
35,"[0.7263179029072924, 1.0489973816403657, 1.2071035336915847, 0.4084751401353445, 0.9478819607021934, 0.9691779263697055, 0.6510581979259448, 0.18395614883134034, 0.8354523167194566, 0.6518514031006484]",0.7630271912023876,0.09707801388527024,"[2.326367248983653, 3.5068617026574533, 4.415278526749934, 1.6134241679424752, 2.8810923518241207, 3.5691555577091507, 2.104083725162855, 1.247134769351766, 2.7636855648563015, 2.4157048014183697]",2.684278841665608,0.3027654422950465,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
