condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
High-pass,3800.0,[61.39825992],61.39825992,,human
High-pass,5800.0,[53.4313229],53.4313229,,human
High-pass,7500.0,[38.27451188],38.27451188,,human
High-pass,10000.0,[26.80807],26.80807,,human
High-pass,13200.0,[26.52438149],26.52438149,,human
High-pass,15300.0,[17.34279214],17.34279214,,human
Low-pass,3900.0,[20.01338686],20.01338686,,human
Low-pass,6000.0,[19.03699273],19.03699273,,human
Low-pass,8000.0,[19.0803846],19.0803846,,human
Low-pass,10300.0,[21.32391381],21.32391381,,human
Low-pass,12000.0,[41.98567837],41.98567837,,human
Low-pass,14500.0,[48.0429995],48.0429995,,human
Low-pass,16000.0,[60.46438539],60.46438539,,human
High-pass,3800.0,"[76.0, 52.0, 72.85714285714286, 64.14285714285714, 81.28571428571429, 60.714285714285715, 46.57142857142857, 79.71428571428571, 97.28571428571429, 40.42857142857143]",67.1,5.571959681645009,models/sound_localization/simplified_IHC0050/arch??
High-pass,5800.0,"[65.28571428571429, 53.285714285714285, 66.71428571428571, 72.28571428571429, 72.28571428571429, 58.714285714285715, 28.428571428571427, 62.57142857142857, 91.42857142857143, 21.714285714285715]",59.271428571428565,6.560185343878002,models/sound_localization/simplified_IHC0050/arch??
High-pass,7500.0,"[46.285714285714285, 47.57142857142857, 59.57142857142857, 55.714285714285715, 72.14285714285714, 56.285714285714285, 29.142857142857142, 78.57142857142857, 75.85714285714286, 23.142857142857142]",54.42857142857143,5.886800639456672,models/sound_localization/simplified_IHC0050/arch??
High-pass,10000.0,"[18.285714285714285, 24.714285714285715, 23.285714285714285, 16.857142857142858, 23.0, 24.428571428571427, 16.0, 26.142857142857142, 20.285714285714285, 8.571428571428571]",20.157142857142855,1.6951912781122238,models/sound_localization/simplified_IHC0050/arch??
High-pass,13200.0,"[7.142857142857143, 9.857142857142858, 7.571428571428571, 7.142857142857143, 7.142857142857143, 9.285714285714286, 7.142857142857143, 7.142857142857143, 7.142857142857143, 8.0]",7.757142857142857,0.3180510377046961,models/sound_localization/simplified_IHC0050/arch??
High-pass,15300.0,"[7.142857142857143, 7.142857142857143, 7.285714285714286, 7.142857142857143, 7.857142857142857, 7.142857142857143, 4.285714285714286, 7.142857142857143, 6.428571428571429, 8.857142857142858]",7.042857142857143,0.36579984118302156,models/sound_localization/simplified_IHC0050/arch??
Low-pass,3900.0,"[19.714285714285715, 19.428571428571427, 7.714285714285714, 10.142857142857142, 16.428571428571427, 12.285714285714286, 12.571428571428571, 13.857142857142858, 15.142857142857142, 11.285714285714286]",13.857142857142858,1.228719075661082,models/sound_localization/simplified_IHC0050/arch??
Low-pass,6000.0,"[13.857142857142858, 20.142857142857142, 23.571428571428573, 22.142857142857142, 19.285714285714285, 19.571428571428573, 14.285714285714286, 23.571428571428573, 34.285714285714285, 12.857142857142858]",20.357142857142858,1.9861481768737361,models/sound_localization/simplified_IHC0050/arch??
Low-pass,8000.0,"[25.857142857142858, 19.857142857142858, 23.285714285714285, 21.428571428571427, 18.0, 21.571428571428573, 12.0, 22.428571428571427, 25.0, 20.285714285714285]",20.97142857142857,1.2435411363614512,models/sound_localization/simplified_IHC0050/arch??
Low-pass,10300.0,"[35.0, 31.142857142857142, 33.142857142857146, 33.285714285714285, 31.0, 30.857142857142858, 27.857142857142858, 39.285714285714285, 26.0, 16.857142857142858]",30.442857142857143,1.9041010758437893,models/sound_localization/simplified_IHC0050/arch??
Low-pass,12000.0,"[38.0, 57.857142857142854, 48.714285714285715, 52.857142857142854, 67.28571428571429, 52.57142857142857, 29.285714285714285, 74.14285714285714, 60.857142857142854, 24.714285714285715]",50.628571428571426,5.040075225296144,models/sound_localization/simplified_IHC0050/arch??
Low-pass,14500.0,"[55.57142857142857, 94.0, 67.71428571428571, 61.714285714285715, 87.14285714285714, 81.85714285714286, 30.0, 71.71428571428571, 91.57142857142857, 37.285714285714285]",67.85714285714286,6.980211745288985,models/sound_localization/simplified_IHC0050/arch??
Low-pass,16000.0,"[88.42857142857143, 85.0, 84.85714285714286, 81.57142857142857, 92.14285714285714, 89.0, 46.142857142857146, 96.28571428571429, 99.71428571428571, 55.0]",81.81428571428572,5.520485453036555,models/sound_localization/simplified_IHC0050/arch??
High-pass,3800.0,"[73.71428571428571, 95.28571428571429, 77.0, 75.0, 94.71428571428571, 72.71428571428571, 44.285714285714285, 94.71428571428571, 82.57142857142857, 35.57142857142857]",74.55714285714285,6.457587075603569,models/sound_localization/simplified_IHC0320/arch??
High-pass,5800.0,"[74.71428571428571, 84.57142857142857, 71.0, 75.85714285714286, 90.0, 83.57142857142857, 26.285714285714285, 76.71428571428571, 81.42857142857143, 26.428571428571427]",69.05714285714285,7.325945567505253,models/sound_localization/simplified_IHC0320/arch??
