azim_err_lag_list,azim_err_lag_mean,azim_err_lag_sem,azim_err_lead_list,azim_err_lead_mean,azim_err_lead_sem,delay,tag_model
,4.419889503,0.110497238,,4.352930917,0.220994475,0.0,human
,39.22651934,0.165745856,,4.615346285,0.276243094,0.005,human
,27.29281768,1.602209945,,4.601580845,0.552486188,0.01,human
,20.49723757,1.82320442,,18.56565367,1.436464088,0.025,human
,18.28729282,1.602209945,,18.33089376,1.38121547,0.05,human
,13.31491713,1.215469613,,14.28391686,1.049723757,0.1,human
"[0.6454972243679029, 3.5355339059327378, 1.4433756729740643, 0.0, 0.0, 0.0, 0.0, 1.4433756729740648, 1.2909944487358058, 2.236067977499789]",1.0594844902484364,0.3730493882886779,"[0.6454972243679029, 3.1622776601683795, 1.4433756729740639, 0.0, 0.0, 0.0, 0.0, 1.4433756729740648, 1.2909944487358058, 1.7078251276599326]",0.9693345806880149,0.32948733534067015,0.0,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
"[43.0938897447577, 44.41283598240491, 42.79797502997854, 43.20493798938573, 43.20493798938573, 43.0938897447577, 42.98740125509644, 43.20493798938573, 42.87578959428424, 43.05035810923451]",43.192695342867125,0.1424919822037585,"[0.6454972243679021, 3.0276503540974917, 1.2909944487358047, 0.0, 0.0, 0.6454972243679021, 1.1180339887498947, 1.825741858350554, 1.2909944487358054, 2.5819888974716108]",1.2426398444876967,0.31870912377989324,0.005,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
"[43.32531977185319, 44.36590282337702, 43.66539438350084, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.20493798938573, 42.99709292498738, 43.44536799245691, 44.11160089288681]",43.47304307466051,0.14057784006064952,"[0.6454972243679028, 2.886751345948129, 1.8257418583505536, 0.0, 0.0, 0.0, 0.0, 1.4433756729740648, 0.9128709291752769, 3.027650354097491]",1.0741887384913418,0.37457905570639427,0.01,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
"[43.20493798938573, 43.90804785761565, 43.0938897447577, 43.28683402606386, 43.20493798938573, 43.20493798938573, 43.24831403264949, 43.277207241995946, 43.17117093616989, 44.073801742078025]",43.367407954948774,0.10607157037626148,"[0.0, 2.813657169355689, 0.6454972243679021, 0.6454972243679029, 0.0, 0.0, 0.6454972243679029, 1.7078251276599332, 0.6454972243679029, 2.4152294576982394]",0.9518700652185472,0.3209840273413014,0.025,models/sound_localization/simplified_IHC3000_delayed_integration/arch??
