background_condition,correct_spkr,correct_word,cutoff_channel,cutoff_channel_freq,fn_eval,index,popt,snr,srt,tag_expt,tag_model
3.0,"[0.005319148936170213, 0.007978723404255319, 0.013297872340425532, 0.013297872340425532, 0.04521276595744681, 0.2047872340425532, 0.44148936170212766, 0.6436170212765957, 0.7712765957446809, 0.8563829787234043, 0.8856382978723404, 0.9095744680851063, 0.925531914893617, 0.9335106382978723, 0.9335106382978723]","[0.0, 0.0, 0.0, 0.0, 0.013297872340425532, 0.07712765957446809, 0.22872340425531915, 0.43351063829787234, 0.6303191489361702, 0.7207446808510638, 0.7712765957446809, 0.8058510638297872, 0.8297872340425532, 0.8271276595744681, 0.8138297872340425]",0.0,80.0,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,0,[ 0.81265616 -3.2822873   4.64319878],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.2822873025104538,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.005319148936170213, 0.007978723404255319, 0.005319148936170213, 0.007978723404255319, 0.047872340425531915, 0.15425531914893617, 0.3882978723404255, 0.6196808510638298, 0.7420212765957447, 0.8271276595744681, 0.8696808510638298, 0.8776595744680851, 0.9069148936170213, 0.9122340425531915, 0.9228723404255319]","[0.0, 0.0, 0.0, 0.0026595744680851063, 0.007978723404255319, 0.0398936170212766, 0.18085106382978725, 0.425531914893617, 0.6063829787234043, 0.7180851063829787, 0.7819148936170213, 0.800531914893617, 0.824468085106383, 0.8351063829787234, 0.8377659574468085]",4.0,242.87576293945312,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,1,[ 0.81187619 -2.8814087   4.30154942],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-2.8814086975796624,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.005319148936170213, 0.0, 0.010638297872340425, 0.007978723404255319, 0.023936170212765957, 0.11170212765957446, 0.3351063829787234, 0.5771276595744681, 0.7154255319148937, 0.8058510638297872, 0.851063829787234, 0.8882978723404256, 0.9122340425531915, 0.9308510638297872, 0.9361702127659575]","[0.0, 0.0, 0.0, 0.0, 0.005319148936170213, 0.04521276595744681, 0.16489361702127658, 0.3803191489361702, 0.5904255319148937, 0.7047872340425532, 0.7686170212765957, 0.8111702127659575, 0.8191489361702128, 0.8191489361702128, 0.8111702127659575]",8.0,491.6507873535156,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,2,[ 0.80960842 -2.50046849  4.40388676],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-2.5004684906780708,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.005319148936170213, 0.010638297872340425, 0.010638297872340425, 0.023936170212765957, 0.09840425531914894, 0.300531914893617, 0.5425531914893617, 0.7287234042553191, 0.8164893617021277, 0.8670212765957447, 0.9095744680851063, 0.9281914893617021, 0.9361702127659575, 0.9441489361702128]","[0.0, 0.0, 0.0, 0.0, 0.005319148936170213, 0.0398936170212766, 0.15159574468085107, 0.3776595744680851, 0.5771276595744681, 0.7047872340425532, 0.776595744680851, 0.8138297872340425, 0.824468085106383, 0.8271276595744681, 0.824468085106383]",12.0,871.6275024414062,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,3,[ 0.81633152 -2.31021995  4.4173562 ],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-2.3102199465189024,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.010638297872340425, 0.005319148936170213, 0.005319148936170213, 0.013297872340425532, 0.03723404255319149, 0.10372340425531915, 0.32180851063829785, 0.5398936170212766, 0.7180851063829787, 0.8218085106382979, 0.875, 0.9095744680851063, 0.9175531914893617, 0.9335106382978723, 0.9468085106382979]","[0.0, 0.0, 0.0, 0.0, 0.0026595744680851063, 0.04521276595744681, 0.16489361702127658, 0.39893617021276595, 0.574468085106383, 0.7127659574468085, 0.7632978723404256, 0.800531914893617, 0.824468085106383, 0.8324468085106383, 0.8191489361702128]",16.0,1452.0006103515625,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,4,[ 0.81210548 -2.5085014   4.50589865],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-2.508501396083841,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.005319148936170213, 0.010638297872340425, 0.010638297872340425, 0.03723404255319149, 0.10106382978723404, 0.3351063829787234, 0.5478723404255319, 0.7287234042553191, 0.824468085106383, 0.8696808510638298, 0.9042553191489362, 0.9202127659574468, 0.9308510638297872, 0.9388297872340425]","[0.0, 0.0, 0.0, 0.0, 0.0026595744680851063, 0.0398936170212766, 0.17287234042553193, 0.3882978723404255, 0.6063829787234043, 0.7207446808510638, 0.7845744680851063, 0.8085106382978723, 0.8271276595744681, 0.8351063829787234, 0.8191489361702128]",20.0,2338.45751953125,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,5,[ 0.81730989 -2.61271506  4.27515108],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-2.6127150617836583,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.005319148936170213, 0.007978723404255319, 0.010638297872340425, 0.026595744680851064, 0.0398936170212766, 0.11702127659574468, 0.35106382978723405, 0.6117021276595744, 0.7473404255319149, 0.8404255319148937, 0.8882978723404256, 0.901595744680851, 0.9175531914893617, 0.9281914893617021, 0.9388297872340425]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0425531914893617, 0.19414893617021275, 0.4228723404255319, 0.6143617021276596, 0.7367021276595744, 0.773936170212766, 0.8058510638297872, 0.8191489361702128, 0.8271276595744681, 0.8351063829787234]",24.0,3692.423583984375,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,6,[ 0.80864731 -3.02313819  4.19078484],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.0231381920381226,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.005319148936170213, 0.010638297872340425, 0.010638297872340425, 0.013297872340425532, 0.026595744680851064, 0.125, 0.375, 0.6037234042553191, 0.7446808510638298, 0.8351063829787234, 0.8882978723404256, 0.9122340425531915, 0.9308510638297872, 0.9308510638297872, 0.9388297872340425]","[0.0, 0.0, 0.0, 0.0, 0.0026595744680851063, 0.061170212765957445, 0.20212765957446807, 0.42819148936170215, 0.6090425531914894, 0.723404255319149, 0.773936170212766, 0.8111702127659575, 0.8191489361702128, 0.8191489361702128, 0.824468085106383]",28.0,5760.4599609375,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,7,[ 0.80895412 -3.06079239  4.44721584],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.0607923850386958,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
3.0,"[0.0026595744680851063, 0.010638297872340425, 0.007978723404255319, 0.013297872340425532, 0.03723404255319149, 0.17819148936170212, 0.40691489361702127, 0.6170212765957447, 0.7473404255319149, 0.8696808510638298, 0.898936170212766, 0.9175531914893617, 0.9361702127659575, 0.9468085106382979, 0.9468085106382979]","[0.0, 0.0, 0.0, 0.0, 0.0026595744680851063, 0.05585106382978723, 0.21808510638297873, 0.42819148936170215, 0.6117021276595744, 0.7313829787234043, 0.7819148936170213, 0.8085106382978723, 0.8218085106382979, 0.8297872340425532, 0.8111702127659575]",32.0,8000.0,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,8,[ 0.81393926 -3.09910904  4.47579058],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-3.0991090440291855,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
4.0,"[0.018617021276595744, 0.018617021276595744, 0.018617021276595744, 0.023936170212765957, 0.06648936170212766, 0.14627659574468085, 0.2978723404255319, 0.48404255319148937, 0.648936170212766, 0.7872340425531915, 0.8537234042553191, 0.8776595744680851, 0.9095744680851063, 0.9095744680851063, 0.9335106382978723]","[0.0, 0.0, 0.0, 0.005319148936170213, 0.010638297872340425, 0.031914893617021274, 0.1276595744680851, 0.24202127659574468, 0.39893617021276595, 0.5425531914893617, 0.6436170212765957, 0.7313829787234043, 0.7579787234042553, 0.7792553191489362, 0.8111702127659575]",0.0,80.0,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,9,[ 0.77702813 -0.04649949  5.91845811],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",-0.0464994897348701,hopkins_moore_2009,models/spkr_word_recognition/freq13mean_autocorr_block3concat/simplified_IHC0050/arch0_00??
