f,itd_threshold_list,itd_threshold_mean,itd_threshold_sem,log_itd_threshold_list,log_itd_threshold_mean,log_itd_threshold_sem,tag_model
250.0,"[61.0, 61.0, 37.0, 97.0]",64.0,12.36931687685298,"[4.110873864173311, 4.110873864173311, 3.6109179126442243, 4.574710978503383]",4.101844154873557,0.1968024981843579,human
500.0,"[31.0, 29.0, 25.0, 53.0]",34.5,6.2915286960589585,"[3.4339872044851463, 3.367295829986474, 3.2188758248682006, 3.970291913552122]",3.497612693222986,0.1638471276251447,human
700.0,"[17.0, 16.0, 18.0, 32.0]",20.75,3.7721567659187585,"[2.833213344056216, 2.772588722239781, 2.8903717578961645, 3.4657359027997265]",2.990477431747972,0.1602340068078666,human
800.0,"[15.0, 11.0, 16.0, 42.0]",21.0,7.082843120291926,"[2.70805020110221, 2.3978952727983707, 2.772588722239781, 3.7376696182833684]",2.9040509536059327,0.28965673140376447,human
900.0,"[15.0, 14.0, 17.0, 49.0]",23.75,8.4397373576828,"[2.70805020110221, 2.6390573296152584, 2.833213344056216, 3.8918202981106265]",3.018035293221078,0.29402018665074736,human
1000.0,"[11.0, 21.0, 23.0, 37.0]",23.0,5.354126134736338,"[2.3978952727983707, 3.044522437723423, 3.1354942159291497, 3.6109179126442243]",3.0472074597737917,0.24952914851209257,human
1200.0,"[17.0, 30.0, 41.0, 80.0]",42.0,13.583077707206124,"[2.833213344056216, 3.4011973816621555, 3.713572066704308, 4.382026634673881]",3.5825023567741403,0.3228420483756259,human
1250.0,"[19.0, 40.0, 37.0, 130.0]",56.5,24.934915279583365,"[2.9444389791664403, 3.6888794541139363, 3.6109179126442243, 4.867534450455582]",3.7779426990950458,0.3997674508035111,human
1300.0,"[29.0, 46.0, 54.0]",43.0,7.371114795831994,"[3.367295829986474, 3.828641396489095, 3.9889840465642745]",3.7283070910132814,0.18634581589024823,human
1350.0,"[59.0, 64.0, 139.0]",87.33333333333333,25.87362449376671,"[4.07753744390572, 4.1588830833596715, 4.9344739331306915]",4.390298153465361,0.27309933336017805,human
1400.0,"[133.0, 143.0]",138.0,5.0,"[4.890349128221754, 4.962844630259907]",4.92659687924083,0.036247751019076624,human
250.0,"[42.214789588839785, 35.70273268756858, 45.84226877011475, 31.078402006552594, 36.674359526784876, 37.93902330272658, 55.99388421070912, 72.19838782999462, 79.93598968679616, 35.29955853035611]",47.28793961404432,5.3028122717104305,"[3.742770623834253, 3.5752272317263762, 3.8252065644215847, 3.436513108687039, 3.6020778603942087, 3.6359802209685106, 4.025242474248194, 4.279417716425028, 4.3812261854848416, 3.563870457638841]",3.8067532443828873,0.10145235589835136,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
300.0,"[28.186027779727763, 25.232509030100665, 39.06089881192494, 30.319538150793967, 28.41207518521132, 28.562309743926424, 33.34867014220696, 40.8574035087539, 76.0026485539048, 34.51382017553875]",36.44959010820895,4.6697047721919445,"[3.3388263863548606, 3.2281332040065953, 3.6651219362417686, 3.4117923281645526, 3.3468142373805247, 3.3520880075880872, 3.507017895770679, 3.7100880413290755, 4.3307681890725895, 3.541359828622869]",3.5432010054531604,0.09987144835649378,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
350.0,"[23.828901467025368, 26.070805292147117, 40.65147500700556, 31.30568819120643, 29.419341996788415, 27.04876497135772, 29.54012438103282, 32.24474241810133, 149.59096892091762, 32.23408707634613]",42.19348997219285,12.019963066656997,"[3.170899191308053, 3.260816117078889, 3.7050351208707077, 3.4437998123834146, 3.381652349076415, 3.2976413469990655, 3.3857494876912826, 3.4733550041563244, 5.007904695542461, 3.4730244974788387]",3.559987762258545,0.1672639760865942,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
400.0,"[28.139992987088483, 29.76101338844588, 34.89629430912394, 31.94176914148072, 33.5543384760077, 27.5520215434555, 33.7392469671073, 35.24727291539065, 61.05955042205406, 34.46859489488597]",35.03600950450402,3.022972714554091,"[3.3371918024711618, 3.393199261416245, 3.5523806433165306, 3.463914530779558, 3.5131661687983047, 3.316075910164857, 3.518661758170099, 3.562388162163128, 4.111849624391549, 3.5400486165672698]",3.53088764782387,0.07044494693040326,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
450.0,"[30.901819820807525, 26.370295128143205, 33.818311798238234, 31.22512961656835, 29.369700841956075, 27.5898234725188, 30.54785874277722, 29.11988481386273, 38.00361000218206, 35.00318036704479]",31.1949614604099,1.1163418523147681,"[3.4308150760467897, 3.272238192116872, 3.5210024249636818, 3.441223207054054, 3.3799635593212702, 3.3174469899672907, 3.4192945929083765, 3.371421267752761, 3.6376811552715886, 3.555438924991052]",3.434652539039374,0.03506576014987922,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
500.0,"[26.407088340369498, 26.5842947547991, 30.284835165216034, 26.695875240031715, 28.76354261969617, 24.890170128963202, 26.874737509508098, 25.92847043517416, 23.490155276933624, 29.66003598804037]",26.957920545873197,0.6625658425009857,"[3.2736324718544716, 3.2803206186675897, 3.4106470976317698, 3.2845090680800357, 3.3591087039768524, 3.214472951589696, 3.2911867193120576, 3.255341609579853, 3.156581408990975, 3.389800550061726]",3.291560119974503,0.02457793719605136,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
550.0,"[26.515698523691743, 25.8570590058928, 30.127823918435208, 26.694345464194917, 27.957011355339993, 27.568290988074768, 26.0735355001819, 28.31463879673853, 23.785794473603417, 31.07902122342183]",27.39732192495751,0.6719283228901177,"[3.277736954714712, 3.25258363933923, 3.405449127448541, 3.2844517626103436, 3.330668021643166, 3.316666235014065, 3.2609208344075884, 3.3433789428797236, 3.1690885316221085, 3.4365330328356634]",3.3077477082515143,0.024474757335248315,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
600.0,"[28.989674841876976, 27.391293134484254, 30.89813481452234, 27.641186652967214, 29.22560997307613, 31.056758305711785, 29.043190255816842, 31.039143572975977, 27.959771335658193, 33.698844017103454]",29.69436069041932,0.621988776773414,"[3.366939726653931, 3.310225194080373, 3.4306958200922733, 3.3193069304296783, 3.3750453787596943, 3.4358164434943395, 3.368784041216693, 3.4352491038575725, 3.330766739065293, 3.517463534606881]",3.3890292912256728,0.02057937217557619,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
650.0,"[25.88810925974921, 25.487500612366116, 27.653614009770216, 25.914432042286677, 22.23407895700662, 27.472435098368464, 25.705989000415276, 26.905890561310144, 27.516337641927635, 32.735192944671255]",26.751358012787158,0.8319385536816422,"[3.2537837613457445, 3.2381881599267084, 3.3197564250245875, 3.254800035225033, 3.1016261999882886, 3.313183141914401, 3.2467239997883417, 3.2923452426095334, 3.3147799243374156, 3.488450736015634]",3.282363762617569,0.030447521716926544,models/sound_localization/sr20000_IHC3000_delayed_integration/arch??
