azim_ref,log_maa_list,log_maa_mean,log_maa_sem,maa_list,maa_mean,maa_sem,tag_model
0,"[0.18744149086741144, 0.01079212495992114, -0.09331451975916617]",0.03497303202272214,0.08194413051081938,"[1.206159676, 1.01085057, 0.910906957]",1.0426390676666666,0.08670144838688496,human
30,"[0.5299567850911084, 0.5404360953522632, 0.47755589024427986]",0.5159829235625505,0.019450206966508066,"[1.698858891, 1.716755368, 1.612129362]",1.6759145403333333,0.03230832041190133,human
45,"[0.9169048760490089, 0.7941813800433183, 0.6551741140917519]",0.7887534567280263,0.07560389033711407,"[2.501535832, 2.212628953, 1.925477741]",2.213214175333333,0.1662939043937225,human
60,"[1.2816387414089758, 1.1810947138092187, 1.2577692015161548]",1.240167552244783,0.03032951760413974,"[3.60253852, 3.257938762, 3.517565748]",3.459347676666667,0.1036488562016716,human
75,"[1.8842338291661416, 2.0215727475795675, 2.1014144895765097]",2.002407022107406,0.0634227971335402,"[6.581310102, 7.550190144, 8.177729048]",7.436409764666666,0.46434464349513277,human
0,"[-0.4094277860445011, -0.3714619566598139, -0.11534505946403863, 0.0355033828724444, 0.6824637368236456, 0.9175565743402408, -0.7325671715545482, 0.04700010577808452, -0.05312829926912629, -0.16075049944573305]",-0.016015697262334583,0.1560914573010593,"[0.7036288197709709, 0.7120302694383508, 0.9183688433394628, 1.2407254177290108, 2.4778488981275433, 5.099918934784212, 0.5197922668484897, 1.2589517230514138, 1.099449900974012, 0.8693488871588652]",1.4900063961222332,0.43655596850933015,models/sound_localization/IHC3000_delayed_integration/arch??
5,"[-0.4020723602240081, -0.3656540545035985, -0.08718008504727394, 0.007856633840707025, 0.694980311164835, 0.698539026290219, -0.7125175513733583, 0.022099642830196855, -0.061835760138672834, -0.1733355871395458]",-0.03791197843004995,0.1414860389522931,"[0.6991800451194873, 0.7158791183422023, 0.952000489338848, 1.2055287114805344, 2.5144102852853036, 3.2240927250420075, 0.5281389988157413, 1.2195392789797295, 1.089961783849647, 0.8612378710307907]",1.3009969307284293,0.27584208675015603,models/sound_localization/IHC3000_delayed_integration/arch??
10,"[-0.30183129068563924, -0.2703176024020077, 0.0012661171035014268, -0.028773001122552672, 0.6653748939064159, 0.39174059824659807, -0.6441379351533837, 0.021306133713416258, -0.053341271416273456, -0.16614119321923565]",-0.03848545510291607,0.1150937870811034,"[0.7600794019088015, 0.781250150320346, 1.0475343668568804, 1.1315926103342053, 2.5036139137304336, 1.8782992441412218, 0.5584284425695587, 1.185708496117723, 1.1112802174330119, 0.8712663434010678]",1.182905318681325,0.1850266964536352,models/sound_localization/IHC3000_delayed_integration/arch??
15,"[-0.12057304293119468, -0.16453188188623272, 0.11149745445070842, 0.023303537695108373, 0.73391302635704, 0.1850431172950232, -0.5657093721150472, -0.010561642224796561, -0.049379885706171654, -0.1498825550863425]",-0.0006881244151905386,0.10394922274501571,"[0.910698849900673, 0.8638172887899883, 1.1598808526654791, 1.1718910736511372, 2.666552930831027, 1.358760071127773, 0.5969326181399444, 1.114426027024799, 1.1233034551202867, 0.8833435004565539]",1.1849606667707662,0.17795133363354992,models/sound_localization/IHC3000_delayed_integration/arch??
20,"[0.17808101083515812, -0.13903921923548848, 0.1770386530644659, 0.2024031376644829, 0.8844517589795503, 0.1890720970744768, -0.4441181056228029, -0.021100547796961286, -0.02164924152288143, -0.1121021382752959]",0.0893037405164704,0.10915471999753136,"[1.262342580021398, 0.8869627811864781, 1.2157121685565655, 1.5108357597362903, 3.16866075847334, 1.3982386897262709, 0.6677177869654498, 1.0780950006882593, 1.1851355130152461, 0.9139653560920203]",1.328766639446132,0.21929386369262513,models/sound_localization/IHC3000_delayed_integration/arch??
25,"[0.4691308055842692, -0.06354192351580347, 0.24803079080153814, 0.3551604267745106, 1.049505668399622, 0.24350903786152012, -0.29898889541093926, 0.048706517872258714, 0.06130789217997634, -0.03157810126674852]",0.20812422192802038,0.11718474925905689,"[1.7075233984519942, 0.9558187820524329, 1.2961922926460738, 1.7914228671764658, 3.768062668816679, 1.4707589707044315, 0.7698136215288671, 1.1780015011991416, 1.2738158314064683, 0.989174106627805]",1.5200584040610359,0.26988807333778125,models/sound_localization/IHC3000_delayed_integration/arch??
30,"[0.729702731186079, 0.01079711318691781, 0.38684949815964215, 0.3609932739829887, 1.1811067199385759, 0.3579644142721958, -0.13027055328895884, 0.24143133921233714, 0.17509266948308802, 0.04192521984054453]",0.335559242597341,0.12098565388134386,"[2.2128493560746127, 1.0371831932305986, 1.493056474137484, 1.585905851527133, 4.325220507806727, 1.6316970270991502, 0.92281897448464, 1.4853664988976476, 1.379126371878539, 1.0672636155454422]",1.7140487870681977,0.3128018739138692,models/sound_localization/IHC3000_delayed_integration/arch??
35,"[0.8882260333269816, 0.07150793362403172, 0.48690590782107046, 0.22070513144208606, 1.128771436596959, 0.44966172513790764, 0.045050019363757667, 0.40563404890882215, 0.31236107068062136, 0.14962483843085583]",0.4158448145333094,0.11122669698446568,"[2.6283884158569353, 1.1108272652991427, 1.6542365370163603, 1.3090923417745435, 3.9243962972518336, 1.7860769437202417, 1.112139860067482, 1.748473731273729, 1.5316511646649162, 1.195833126490731]",1.8001115683415914,0.2758726021105762,models/sound_localization/IHC3000_delayed_integration/arch??
