condition,cutoff,percent_correct_list,percent_correct_mean,percent_correct_sem,tag_model
High-pass,3800.0,[61.39825992],61.39825992,,human
High-pass,5800.0,[53.4313229],53.4313229,,human
High-pass,7500.0,[38.27451188],38.27451188,,human
High-pass,10000.0,[26.80807],26.80807,,human
High-pass,13200.0,[26.52438149],26.52438149,,human
High-pass,15300.0,[17.34279214],17.34279214,,human
Low-pass,3900.0,[20.01338686],20.01338686,,human
Low-pass,6000.0,[19.03699273],19.03699273,,human
Low-pass,8000.0,[19.0803846],19.0803846,,human
Low-pass,10300.0,[21.32391381],21.32391381,,human
Low-pass,12000.0,[41.98567837],41.98567837,,human
Low-pass,14500.0,[48.0429995],48.0429995,,human
Low-pass,16000.0,[60.46438539],60.46438539,,human
High-pass,3800.0,"[79.28571428571429, 91.71428571428571, 90.0, 80.71428571428571, 71.85714285714286, 73.0, 39.57142857142857, 78.0, 88.28571428571429, 39.714285714285715]",73.21428571428571,5.984380652280002,models/sound_localization/IHC0050/arch??
High-pass,5800.0,"[89.57142857142857, 74.85714285714286, 86.42857142857143, 74.14285714285714, 69.28571428571429, 77.71428571428571, 36.714285714285715, 73.0, 86.0, 28.285714285714285]",69.6,6.553315271149703,models/sound_localization/IHC0050/arch??
High-pass,7500.0,"[83.57142857142857, 88.14285714285714, 92.57142857142857, 82.0, 53.714285714285715, 62.857142857142854, 37.57142857142857, 83.71428571428571, 80.42857142857143, 30.714285714285715]",69.52857142857142,6.970298177936321,models/sound_localization/IHC0050/arch??
High-pass,10000.0,"[10.428571428571429, 14.714285714285714, 15.571428571428571, 18.857142857142858, 14.428571428571429, 14.285714285714286, 7.142857142857143, 14.0, 8.428571428571429, 16.428571428571427]",13.428571428571427,1.1560743646097928,models/sound_localization/IHC0050/arch??
High-pass,13200.0,"[7.285714285714286, 11.857142857142858, 9.428571428571429, 7.142857142857143, 10.714285714285714, 8.142857142857142, 7.285714285714286, 9.0, 7.285714285714286, 7.142857142857143]",8.528571428571428,0.5324184329595493,models/sound_localization/IHC0050/arch??
High-pass,15300.0,"[7.142857142857143, 7.142857142857143, 7.285714285714286, 6.0, 7.285714285714286, 8.571428571428571, 6.142857142857143, 8.428571428571429, 6.571428571428571, 7.428571428571429]",7.2,0.2670065860738321,models/sound_localization/IHC0050/arch??
Low-pass,3900.0,"[25.714285714285715, 17.571428571428573, 25.428571428571427, 32.42857142857143, 24.0, 29.428571428571427, 8.714285714285714, 23.428571428571427, 26.428571428571427, 13.857142857142858]",22.7,2.291703462908053,models/sound_localization/IHC0050/arch??
Low-pass,6000.0,"[47.857142857142854, 39.42857142857143, 32.42857142857143, 54.0, 43.57142857142857, 33.857142857142854, 10.857142857142858, 50.285714285714285, 70.42857142857143, 18.0]",40.07142857142857,5.508404215996019,models/sound_localization/IHC0050/arch??
Low-pass,8000.0,"[46.42857142857143, 48.714285714285715, 39.285714285714285, 57.57142857142857, 32.42857142857143, 30.285714285714285, 13.571428571428571, 46.57142857142857, 57.857142857142854, 16.142857142857142]",38.885714285714286,4.9390755329496026,models/sound_localization/IHC0050/arch??
Low-pass,10300.0,"[33.285714285714285, 58.142857142857146, 38.42857142857143, 51.714285714285715, 40.714285714285715, 27.142857142857142, 11.142857142857142, 59.714285714285715, 61.285714285714285, 21.714285714285715]",40.32857142857143,5.464544552433705,models/sound_localization/IHC0050/arch??
Low-pass,12000.0,"[68.85714285714286, 75.85714285714286, 65.85714285714286, 76.71428571428571, 57.42857142857143, 61.714285714285715, 23.571428571428573, 83.42857142857143, 78.42857142857143, 22.142857142857142]",61.4,6.897855330699919,models/sound_localization/IHC0050/arch??
Low-pass,14500.0,"[85.57142857142857, 97.28571428571429, 88.28571428571429, 87.14285714285714, 92.14285714285714, 81.0, 41.57142857142857, 93.0, 99.57142857142857, 44.57142857142857]",81.0142857142857,6.558837143213866,models/sound_localization/IHC0050/arch??
Low-pass,16000.0,"[99.0, 99.42857142857143, 99.71428571428571, 99.57142857142857, 84.71428571428571, 87.28571428571429, 56.57142857142857, 96.85714285714286, 99.71428571428571, 61.142857142857146]",88.4,5.225126803569333,models/sound_localization/IHC0050/arch??
High-pass,3800.0,"[98.42857142857143, 93.42857142857143, 89.85714285714286, 90.85714285714286, 93.42857142857143, 99.71428571428571, 83.42857142857143, 93.0, 97.85714285714286, 38.857142857142854]",87.88571428571429,5.651432102330897,models/sound_localization/IHC0320/arch??
High-pass,5800.0,"[87.85714285714286, 93.85714285714286, 93.42857142857143, 92.57142857142857, 88.57142857142857, 89.42857142857143, 65.71428571428571, 80.14285714285714, 96.42857142857143, 49.42857142857143]",83.74285714285715,4.741087832154087,models/sound_localization/IHC0320/arch??
