azim_err_lag_list,azim_err_lag_mean,azim_err_lag_sem,azim_err_lead_list,azim_err_lead_mean,azim_err_lead_sem,delay,tag_model
,4.419889503,0.110497238,,4.352930917,0.220994475,0.0,human
,39.22651934,0.165745856,,4.615346285,0.276243094,0.005,human
,27.29281768,1.602209945,,4.601580845,0.552486188,0.01,human
,20.49723757,1.82320442,,18.56565367,1.436464088,0.025,human
,18.28729282,1.602209945,,18.33089376,1.38121547,0.05,human
,13.31491713,1.215469613,,14.28391686,1.049723757,0.1,human
"[0.0, 33.97302851773251, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7078251276599337]",3.568085364539244,3.3825877694894113,"[0.0, 32.067636852960234, 0.0, 0.0, 0.0, 0.0, 0.9128709291752759, 0.0, 0.0, 1.581138830084191]",3.4561646612219703,3.1836665183608504,0.0,models/sound_localization/IHC3000_delayed_integration/arch??
"[43.13254764869178, 42.01686169464191, 43.0938897447577, 43.17117093616989, 43.20493798938573, 42.88064831599448, 41.992062742062735, 43.20493798938573, 43.20493798938573, 40.2285139339416]",42.61305089844173,0.30481806233806313,"[0.6454972243679029, 6.487166818676188, 0.6454972243679021, 0.6454972243679028, 0.0, 1.4433756729740639, 2.5819888974716103, 0.0, 0.0, 3.8729833462074166]",1.6322006408432987,0.6703443892146499,0.005,models/sound_localization/IHC3000_delayed_integration/arch??
"[43.20493798938573, 41.93248541803041, 43.20493798938573, 43.20493798938573, 43.20493798938573, 43.17117093616989, 42.72489516273465, 43.20493798938573, 43.20493798938573, 42.54409477236529]",42.96022742256146,0.1369751809626759,"[0.0, 9.03696114115064, 0.0, 0.0, 0.0, 0.6454972243679028, 1.443375672974063, 0.0, 0.0, 1.825741858350553]",1.2951575896843157,0.8864765972898373,0.01,models/sound_localization/IHC3000_delayed_integration/arch??
"[43.13737745080631, 43.171170936169894, 43.20493798938573, 43.28683402606386, 43.20493798938573, 43.13737745080632, 43.40218888489381, 43.17117093616989, 43.20493798938573, 43.13737745080631]",43.205831110387365,0.02615777063985921,"[0.9128709291752769, 0.6454972243679028, 0.0, 0.6454972243679029, 0.0, 0.9128709291752769, 1.9364916731037085, 0.6454972243679028, 0.0, 2.041241452319315]",0.7739966656877286,0.23196323818839434,0.025,models/sound_localization/IHC3000_delayed_integration/arch??
