deg_azim_err_list,deg_azim_err_mean,deg_azim_err_sem,deg_elev_err_list,deg_elev_err_mean,deg_elev_err_sem,deg_err_list,deg_err_mean,deg_err_sem,snr,tag_model
"[37.66233766233766, 47.23684210526316, 39.22077922077922, 36.103896103896105, 42.20779220779221, 36.05263157894737, 34.8051948051948, 32.89473684210526, 37.23684210526316, 39.35064935064935, 40.26315789473684]",38.457714534269556,1.1813361070163,"[15.324675324675324, 14.473684210526317, 16.883116883116884, 15.324675324675324, 12.857142857142856, 16.44736842105263, 14.155844155844155, 13.68421052631579, 16.31578947368421, 17.01298701298701, 13.289473684210526]",15.06990617038464,0.4453817777955392,"[40.27084558754677, 45.982487048918, 43.84772847149062, 39.12457058564338, 42.97606522964742, 41.693321100894856, 39.0514682043301, 36.25482478081785, 41.60222484783472, 44.80243026846515, 41.8804172026322]",41.58967121165646,0.8498881204114311,-13.6,human
"[26.710526315789476, 18.181818181818183, 17.894736842105264, 19.350649350649352, 15.324675324675324, 15.844155844155845, 14.342105263157896, 19.86842105263158, 17.272727272727273, 21.18421052631579, 19.22077922077922]",18.654073199527748,1.0174405177003492,"[15.657894736842104, 14.935064935064934, 12.63157894736842, 14.935064935064934, 13.896103896103895, 16.623376623376622, 11.447368421052632, 11.447368421052632, 11.688311688311687, 15.526315789473683, 12.467532467532466]",13.750543714658546,0.569147096515101,"[32.86076934466628, 24.84714327216042, 24.031348517512125, 25.96972180926181, 23.3331663844686, 25.86276028226092, 20.156163944514333, 24.21266534931876, 23.10053042903791, 28.580944514622544, 24.85951214404989]",25.25588418107942,0.9864061508709548,-6.8,human
"[9.74025974025974, 15.394736842105264, 11.03896103896104, 10.64935064935065, 10.51948051948052, 8.441558441558442, 8.7012987012987, 10.38961038961039, 13.506493506493506, 12.207792207792208, 6.883116883116883]",10.679332629093395,0.7199567588167233,"[11.168831168831169, 12.499999999999998, 11.2987012987013, 11.2987012987013, 13.896103896103895, 12.727272727272728, 12.727272727272728, 11.2987012987013, 10.909090909090908, 10.38961038961039, 13.246753246753247]",11.951003541912632,0.33548860262362223,"[17.074129743198178, 21.787275535872578, 17.73459602095161, 17.706691678307337, 19.71367349189648, 18.01524802589833, 16.97450100017768, 17.957493386622904, 18.747055082118365, 17.858018159840892, 16.44883240905058]",18.183410412175903,0.44682580470249655,0.0,human
"[11.168831168831169, 5.194805194805195, 8.051948051948052, 7.368421052631579, 6.623376623376624, 8.181818181818182, 5.8441558441558445, 9.48051948051948, 8.026315789473685, 9.86842105263158, 9.22077922077922]",8.093581060088237,0.5390700010286903,"[13.246753246753247, 10.38961038961039, 8.7012987012987, 12.63157894736842, 8.571428571428571, 15.194805194805197, 9.48051948051948, 11.168831168831169, 9.210526315789474, 10.263157894736842, 8.7012987012987]",10.687255328403653,0.6547137227174056,"[18.781823451651867, 12.946083294905366, 13.333723723219467, 16.66392299175023, 12.209688251409972, 19.11448805345172, 12.638826064072406, 16.611344855416366, 13.660900814190734, 16.219184216413662, 14.686773943773185]",15.169705423659543,0.7386302624412115,6.8,human
"[8.552631578947368, 6.493506493506494, 9.210526315789474, 11.973684210526317, 4.473684210526316, 5.657894736842105, 6.052631578947368, 6.233766233766234, 7.142857142857143, 6.233766233766234, 6.753246753246753]",7.161654135338346,0.6204123092716756,"[9.342105263157896, 10.909090909090908, 7.763157894736842, 11.052631578947368, 9.473684210526317, 12.63157894736842, 8.157894736842104, 7.012987012987013, 8.181818181818182, 8.441558441558442, 9.35064935064935]",9.301559684334803,0.5016224215945078,"[14.57289467911855, 14.608918697630198, 13.458595437712098, 19.11533141555808, 12.070550129172778, 15.146224974187612, 11.907437784126731, 10.998645389891957, 12.332988055477218, 11.70609528146074, 12.92055972155816]",13.530749233263101,0.6899686369412185,13.6,human
"[8.96103896103896, 5.584415584415584, 5.064935064935065, 5.454545454545454, 2.3684210526315788, 3.5064935064935066, 5.064935064935065, 4.285714285714287, 6.103896103896104, 3.2467532467532467, 4.342105263157895]",4.907568508046977,0.526943987783526,"[10.51948051948052, 9.48051948051948, 5.454545454545454, 8.7012987012987, 5.394736842105263, 9.999999999999998, 8.831168831168831, 5.714285714285714, 5.8441558441558445, 6.753246753246753, 8.157894736842104]",7.713757534331696,0.5841801750798492,"[15.626407281217547, 12.849203907760204, 9.007461766545, 11.936336504546489, 6.753977087990183, 12.103800467567677, 11.71949154182965, 8.306613172966149, 10.33192643975439, 8.848206281076223, 10.249747433590672]",10.703015625894926,0.7468627798211414,inf,human
"[46.51487414187643, 47.60503432494279, 48.50228832951945, 48.32608695652174, 48.01784897025172, 47.28810068649886, 49.00549199084668, 48.70297482837529, 48.35217391304348, 49.4741418764302]",48.17890160183067,0.2730403479527033,"[15.493135011441648, 16.444851258581235, 16.446224256292908, 14.393821510297483, 16.826315789473686, 16.312356979405035, 15.936613272311213, 15.255606407322654, 15.13112128146453, 15.781006864988559]",15.802105263157895,0.23531349073960986,"[46.84747336824426, 49.51597075757682, 49.823930011905475, 48.28554666243063, 48.61937589729275, 47.859854536491035, 50.43521988520123, 49.33841973180126, 48.55914923835729, 50.43020410413692]",48.97151441934376,0.36423146286886926,-13.6,models/sound_localization/IHC0050/arch??
"[33.7720823798627, 37.31922196796339, 37.732265446224254, 43.20274599542334, 39.39450800915332, 35.779633867276885, 44.44576659038901, 43.31899313501144, 34.66270022883295, 45.55354691075515]",39.518146453089244,1.3635705630606425,"[14.405263157894737, 15.666132723112128, 15.382151029748284, 14.155377574370709, 15.952402745995423, 14.974370709382152, 15.58695652173913, 14.645995423340961, 14.312356979405035, 15.417162471395882]",15.049816933638445,0.20156323518217018,"[36.50822214981515, 40.77481265415161, 40.72142209273433, 44.110456252614746, 41.58574973592789, 38.27258700760537, 46.38322979898975, 44.692446952524044, 37.26749831109647, 47.04997642355968]",41.7366401379019,1.180780956033198,-6.8,models/sound_localization/IHC0050/arch??
"[21.145766590389016, 25.026773455377576, 25.461784897025172, 29.432723112128148, 27.324942791762012, 23.308924485125857, 34.339816933638446, 32.20480549199085, 23.343935926773455, 36.47391304347826]",27.80633867276888,1.625363107014738,"[12.459267734553777, 13.374599542334096, 13.080549199084668, 13.037299771167048, 13.852860411899314, 12.938901601830663, 14.140961098398169, 13.110983981693364, 12.467276887871854, 14.452631578947368]",13.291533180778032,0.21160302661438848,"[25.794910551232046, 29.54720126036792, 29.595874906083893, 32.60348605064892, 31.18789973563428, 27.599787014529973, 37.29147280721465, 34.9715265832008, 27.383726291907255, 39.240506482215174]",31.521639168303487,1.4101262027048613,0.0,models/sound_localization/IHC0050/arch??
"[14.803661327231122, 17.492677345537757, 17.698855835240273, 18.43638443935927, 18.997025171624713, 16.352860411899314, 24.34691075514874, 21.61304347826087, 16.999771167048056, 26.08924485125858]",19.283043478260872,1.1439400625791574,"[10.151029748283753, 10.764302059496568, 10.611670480549199, 10.935011441647598, 11.29816933638444, 10.529061784897026, 11.937299771167046, 10.923798627002288, 10.307551487414187, 12.345537757437071]",10.980343249427918,0.22142080406551498,"[19.498977039726913, 21.905631960955084, 22.01718233468302, 22.784534969538306, 23.2747164261334, 20.803666577588572, 28.079553572173182, 25.23994867833536, 21.115560115178965, 29.727865346263386]",23.44476370205762,1.038283205839075,6.8,models/sound_localization/IHC0050/arch??
