deg_azim_err_list,deg_azim_err_mean,deg_azim_err_sem,deg_elev_err_list,deg_elev_err_mean,deg_elev_err_sem,deg_err_list,deg_err_mean,deg_err_sem,fn_eval_list,pct_correct_list,pct_correct_mean,pct_correct_sem,smoothed,tag_model
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[80.4304636275, 70.3842638225, 77.8962871025, 85.19712900249999]",78.47703588875,3.0930804528952875,8,human
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[63.6264597475, 56.5971367625, 63.26443453, 65.2254044625]",62.178358875625,1.90855712399623,16,human
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[56.1446052375, 50.59355189, 54.57582929, 54.45515422]",53.942285159375004,1.1807003950596173,32,human
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[53.5802599425, 48.30072551, 52.0114839975, 54.7266731325]",52.154785645625,1.400026699375307,64,human
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[51.347771095, 53.3690785625, 50.0806828325, 48.75325703]",50.88769738,0.9821756667251439,128,human
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[50.1711891375, 51.558952475, 53.5802599425, 48.723088265]",51.008372455,1.0344540968930787,256,human
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[54.666335595, 48.0593753625, 51.7701338525, 52.0114839975]",51.626832201875004,1.3581182307569066,512,human
,,,,,,,,,"['S1', 'S2', 'S3', 'S4']","[50.3220329775, 51.860640155, 52.58469059, 50.50304559]",51.317602328125,0.5442934071135453,1024,human
"[17.952643171806166, 17.608480176211454, 24.881607929515418, 11.71090308370044, 13.873898678414097, 15.484581497797357, 14.314427312775331, 16.333700440528634, 21.004955947136565, 24.237334801762113]",17.740253303964757,1.3905884565103817,"[15.75, 17.991189427312776, 18.33920704845815, 19.07819383259912, 17.4636563876652, 17.33259911894273, 16.812775330396477, 18.625550660792953, 19.07488986784141, 18.446035242290748]",17.891409691629956,0.33516931964914026,"[24.2652665675164, 25.057456389235497, 31.92481820793578, 22.538707692802483, 23.732157625704627, 23.914676935885815, 22.114095851961764, 26.037524102415524, 28.60750336640012, 29.907612286265913]",25.80998190261239,1.0396713316530837,"['models/sound_localization/IHC3000_delayed_integration/arch01/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch02/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch03/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch04/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch05/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch06/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch07/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch08/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch09/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch10/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json']",,,,1,models/sound_localization/IHC3000_delayed_integration/arch??
"[13.004955947136564, 13.752202643171806, 14.645374449339206, 8.728524229074889, 13.57488986784141, 13.349118942731277, 9.547356828193832, 13.11398678414097, 13.920704845814978, 14.586453744493392]",12.822356828193833,0.6407779811783922,"[17.47466960352423, 17.752202643171806, 19.205947136563875, 17.897577092511014, 19.166299559471366, 18.47797356828194, 17.26431718061674, 18.037444933920703, 21.548458149779737, 18.696035242290748]",18.552092511013218,0.39386232964167484,"[22.349555937918407, 22.948130745562835, 26.281409825417835, 20.28659333781664, 24.166848991897922, 23.315364479303383, 20.22377022395174, 23.27538614978371, 25.67709422649424, 23.77506798256858]",23.229922190071527,0.6239586562162843,"['models/sound_localization/IHC3000_delayed_integration/arch01/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch02/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch03/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch04/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch05/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch06/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch07/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch08/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch09/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json', 'models/sound_localization/IHC3000_delayed_integration/arch10/EVAL_PSYCHOPHYSICSv00_spectral_smoothing.json']",,,,2,models/sound_localization/IHC3000_delayed_integration/arch??
