background_condition,correct_spkr,correct_word,cutoff_channel,cutoff_channel_freq,fn_eval,index,popt,snr,srt,tag_expt,tag_model
3.0,"[0.007978723404255319, 0.005319148936170213, 0.010638297872340425, 0.013297872340425532, 0.031914893617021274, 0.18882978723404256, 0.4574468085106383, 0.7420212765957447, 0.851063829787234, 0.9122340425531915, 0.9202127659574468, 0.9654255319148937, 0.9574468085106383, 0.9654255319148937, 0.9654255319148937]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,80.0,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,0,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.010638297872340425, 0.005319148936170213, 0.005319148936170213, 0.010638297872340425, 0.02925531914893617, 0.15425531914893617, 0.43617021276595747, 0.6835106382978723, 0.848404255319149, 0.9042553191489362, 0.9308510638297872, 0.9441489361702128, 0.9547872340425532, 0.9574468085106383, 0.9680851063829787]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.0,242.87576293945312,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,1,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.010638297872340425, 0.007978723404255319, 0.007978723404255319, 0.005319148936170213, 0.02127659574468085, 0.11702127659574468, 0.3962765957446808, 0.6569148936170213, 0.8297872340425532, 0.9148936170212766, 0.9388297872340425, 0.9601063829787234, 0.9574468085106383, 0.973404255319149, 0.9654255319148937]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,491.6507873535156,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,2,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.005319148936170213, 0.005319148936170213, 0.0026595744680851063, 0.007978723404255319, 0.02127659574468085, 0.07712765957446809, 0.3404255319148936, 0.6303191489361702, 0.8351063829787234, 0.9202127659574468, 0.9468085106382979, 0.9627659574468085, 0.976063829787234, 0.9787234042553191, 0.973404255319149]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",12.0,871.6275024414062,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,3,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.010638297872340425, 0.005319148936170213, 0.005319148936170213, 0.023936170212765957, 0.10372340425531915, 0.35106382978723405, 0.6702127659574468, 0.8297872340425532, 0.9202127659574468, 0.9627659574468085, 0.973404255319149, 0.973404255319149, 0.973404255319149, 0.9707446808510638]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.0,1452.0006103515625,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,4,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.010638297872340425, 0.005319148936170213, 0.0026595744680851063, 0.005319148936170213, 0.018617021276595744, 0.125, 0.3882978723404255, 0.6702127659574468, 0.8563829787234043, 0.9228723404255319, 0.949468085106383, 0.9680851063829787, 0.9680851063829787, 0.973404255319149, 0.9707446808510638]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",20.0,2338.45751953125,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,5,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.007978723404255319, 0.0026595744680851063, 0.007978723404255319, 0.015957446808510637, 0.13031914893617022, 0.4228723404255319, 0.699468085106383, 0.8537234042553191, 0.9414893617021277, 0.949468085106383, 0.9627659574468085, 0.973404255319149, 0.973404255319149, 0.9680851063829787]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",24.0,3692.423583984375,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,6,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.005319148936170213, 0.005319148936170213, 0.007978723404255319, 0.018617021276595744, 0.1622340425531915, 0.47606382978723405, 0.723404255319149, 0.875, 0.9388297872340425, 0.9654255319148937, 0.976063829787234, 0.9787234042553191, 0.9787234042553191, 0.9787234042553191]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",28.0,5760.4599609375,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,7,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
3.0,"[0.007978723404255319, 0.005319148936170213, 0.005319148936170213, 0.010638297872340425, 0.05053191489361702, 0.18882978723404256, 0.5531914893617021, 0.7659574468085106, 0.9148936170212766, 0.9414893617021277, 0.9707446808510638, 0.9840425531914894, 0.9813829787234043, 0.9840425531914894, 0.976063829787234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32.0,8000.0,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,8,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
4.0,"[0.0026595744680851063, 0.0, 0.005319148936170213, 0.02925531914893617, 0.1595744680851064, 0.3723404255319149, 0.5957446808510638, 0.7632978723404256, 0.851063829787234, 0.9069148936170213, 0.9335106382978723, 0.9547872340425532, 0.9547872340425532, 0.9601063829787234, 0.9707446808510638]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,80.0,models/spkr_recognition/IHC0050/arch0_0000/EVAL_hopkins_moore_2009.json,9,[6.23545910e-19 1.00000001e+00 1.00000001e+00],"[-24.0, -21.0, -18.0, -15.0, -12.0, -9.0, -6.0, -3.0, 0.0, 3.0, 6.0, 9.0, 12.0, 15.0, inf]",1.0000000063577805,hopkins_moore_2009,models/spkr_recognition/IHC0050/arch0_00??
