background_condition,correct_spkr_list,correct_spkr_mean,correct_spkr_sem,correct_word_list,correct_word_mean,correct_word_sem,snr,tag_expt,tag_model
0.0,"[0.026595744680851064, 0.015957446808510637, 0.015957446808510637, 0.013297872340425532, 0.010638297872340425, 0.018617021276595744, 0.018617021276595744, 0.007978723404255319, 0.015957446808510637, 0.015957446808510637]",0.015957446808510637,0.0015858638138296383,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-21.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.06648936170212766, 0.04521276595744681, 0.05053191489361702, 0.05319148936170213, 0.04521276595744681, 0.0425531914893617, 0.04521276595744681, 0.04521276595744681, 0.047872340425531915, 0.05585106382978723]",0.049734042553191485,0.0022792482503869566,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-18.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.10638297872340426, 0.0851063829787234, 0.10638297872340426, 0.10638297872340426, 0.08776595744680851, 0.09574468085106383, 0.11170212765957446, 0.09574468085106383, 0.09840425531914894, 0.10106382978723404]",0.09946808510638297,0.002723810548889577,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-15.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.2553191489361702, 0.19680851063829788, 0.22606382978723405, 0.2154255319148936, 0.21808510638297873, 0.22074468085106383, 0.2127659574468085, 0.19148936170212766, 0.2154255319148936, 0.22340425531914893]",0.21755319148936172,0.005462029007357927,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-12.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.40425531914893614, 0.3696808510638298, 0.4175531914893617, 0.36436170212765956, 0.3723404255319149, 0.3617021276595745, 0.324468085106383, 0.36436170212765956, 0.42021276595744683, 0.35904255319148937]",0.3757978723404255,0.00939925374844271,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-9.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.5930851063829787, 0.5079787234042553, 0.5771276595744681, 0.5611702127659575, 0.5824468085106383, 0.550531914893617, 0.5398936170212766, 0.5319148936170213, 0.5957446808510638, 0.5345744680851063]",0.5574468085106383,0.009274253071363137,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-6.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.7553191489361702, 0.6702127659574468, 0.7021276595744681, 0.7207446808510638, 0.7074468085106383, 0.6941489361702128, 0.7021276595744681, 0.6941489361702128, 0.7287234042553191, 0.7207446808510638]",0.7095744680851064,0.007340511185987396,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,-3.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.8351063829787234, 0.7792553191489362, 0.8031914893617021, 0.8138297872340425, 0.8271276595744681, 0.7952127659574468, 0.8164893617021277, 0.7845744680851063, 0.8058510638297872, 0.8297872340425532]",0.8090425531914894,0.005996998058612683,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.9095744680851063, 0.8377659574468085, 0.8457446808510638, 0.875, 0.8776595744680851, 0.8643617021276596, 0.8882978723404256, 0.8590425531914894, 0.8670212765957447, 0.8882978723404256]",0.8712765957446809,0.006742252958096297,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,3.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
0.0,"[0.9202127659574468, 0.8882978723404256, 0.8936170212765957, 0.9122340425531915, 0.8909574468085106, 0.8643617021276596, 0.9122340425531915, 0.8803191489361702, 0.9095744680851063, 0.9042553191489362]",0.8976063829787234,0.0054541093671177385,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,6.0,kell_like_inharmonic,models/spkr_recognition/IHC0050/arch0_00??
