condition,ild_bias_weight,ild_bias_weight_mean,ild_bias_weight_sem,itd_bias_weight,itd_bias_weight_mean,itd_bias_weight_sem,model,subject
highpass,0.773329102,0.8188373808,0.04205417451072514,0.297844995,0.23788264990000002,0.049825679920758974,human,S66
highpass,0.930587418,0.8188373808,0.04205417451072514,0.24352484400000002,0.23788264990000002,0.049825679920758974,human,S67
highpass,0.792193686,0.8188373808,0.04205417451072514,0.128392086,0.23788264990000002,0.049825679920758974,human,S68
highpass,0.970695181,0.8188373808,0.04205417451072514,0.192826037,0.23788264990000002,0.049825679920758974,human,S69
highpass,0.957580458,0.8188373808,0.04205417451072514,0.192840354,0.23788264990000002,0.049825679920758974,human,S74
highpass,0.802389571,0.8188373808,0.04205417451072514,0.393009776,0.23788264990000002,0.049825679920758974,human,S76
highpass,0.955652383,0.8188373808,0.04205417451072514,0.110746389,0.23788264990000002,0.049825679920758974,human,S77
highpass,0.629506217,0.8188373808,0.04205417451072514,0.09887537,0.23788264990000002,0.049825679920758974,human,S86
highpass,0.767697598,0.8188373808,0.04205417451072514,0.121431929,0.23788264990000002,0.049825679920758974,human,S91
highpass,0.608742194,0.8188373808,0.04205417451072514,0.599334719,0.23788264990000002,0.049825679920758974,human,S92
lowpass,0.171342326,0.24160994210000003,0.01916686935570231,0.888895199,0.8763294049000001,0.030629306729995958,human,S66
lowpass,0.18796958,0.24160994210000003,0.01916686935570231,0.8958639470000002,0.8763294049000001,0.030629306729995958,human,S67
lowpass,0.305381666,0.24160994210000003,0.01916686935570231,1.011892973,0.8763294049000001,0.030629306729995958,human,S68
lowpass,0.312519358,0.24160994210000003,0.01916686935570231,0.677387364,0.8763294049000001,0.030629306729995958,human,S69
lowpass,0.260249457,0.24160994210000003,0.01916686935570231,0.763907309,0.8763294049000001,0.030629306729995958,human,S74
lowpass,0.308804475,0.24160994210000003,0.01916686935570231,0.9778281009999998,0.8763294049000001,0.030629306729995958,human,S76
lowpass,0.194162326,0.24160994210000003,0.01916686935570231,0.929044959,0.8763294049000001,0.030629306729995958,human,S77
lowpass,0.271863718,0.24160994210000003,0.01916686935570231,0.877431748,0.8763294049000001,0.030629306729995958,human,S86
lowpass,0.251758294,0.24160994210000003,0.01916686935570231,0.879200422,0.8763294049000001,0.030629306729995958,human,S91
lowpass,0.152048221,0.24160994210000003,0.01916686935570231,0.861842027,0.8763294049000001,0.030629306729995958,human,S92
