f,itd_threshold,itd_threshold_mean,itd_threshold_sem,log_itd_threshold,log_itd_threshold_mean,log_itd_threshold_sem,model,subject
250.0,61.0,64.0,12.36931687685298,4.110873864173311,4.101844154873557,0.1968024981843579,human,S1
250.0,61.0,64.0,12.36931687685298,4.110873864173311,4.101844154873557,0.1968024981843579,human,S2
250.0,37.0,64.0,12.36931687685298,3.6109179126442243,4.101844154873557,0.1968024981843579,human,S3
250.0,97.0,64.0,12.36931687685298,4.574710978503383,4.101844154873557,0.1968024981843579,human,S4
500.0,31.0,34.5,6.2915286960589585,3.4339872044851463,3.497612693222986,0.1638471276251447,human,S1
500.0,29.0,34.5,6.2915286960589585,3.367295829986474,3.497612693222986,0.1638471276251447,human,S2
500.0,25.0,34.5,6.2915286960589585,3.2188758248682006,3.497612693222986,0.1638471276251447,human,S3
500.0,53.0,34.5,6.2915286960589585,3.970291913552122,3.497612693222986,0.1638471276251447,human,S4
700.0,17.0,20.75,3.7721567659187585,2.833213344056216,2.990477431747972,0.1602340068078666,human,S1
700.0,16.0,20.75,3.7721567659187585,2.772588722239781,2.990477431747972,0.1602340068078666,human,S2
700.0,18.0,20.75,3.7721567659187585,2.8903717578961645,2.990477431747972,0.1602340068078666,human,S3
700.0,32.0,20.75,3.7721567659187585,3.4657359027997265,2.990477431747972,0.1602340068078666,human,S4
800.0,15.0,21.0,7.082843120291926,2.70805020110221,2.9040509536059327,0.28965673140376447,human,S1
800.0,11.0,21.0,7.082843120291926,2.3978952727983707,2.9040509536059327,0.28965673140376447,human,S2
800.0,16.0,21.0,7.082843120291926,2.772588722239781,2.9040509536059327,0.28965673140376447,human,S3
800.0,42.0,21.0,7.082843120291926,3.7376696182833684,2.9040509536059327,0.28965673140376447,human,S4
900.0,15.0,23.75,8.4397373576828,2.70805020110221,3.018035293221078,0.29402018665074736,human,S1
900.0,14.0,23.75,8.4397373576828,2.6390573296152584,3.018035293221078,0.29402018665074736,human,S2
900.0,17.0,23.75,8.4397373576828,2.833213344056216,3.018035293221078,0.29402018665074736,human,S3
900.0,49.0,23.75,8.4397373576828,3.8918202981106265,3.018035293221078,0.29402018665074736,human,S4
1000.0,11.0,23.0,5.354126134736338,2.3978952727983707,3.0472074597737917,0.24952914851209257,human,S1
1000.0,21.0,23.0,5.354126134736338,3.044522437723423,3.0472074597737917,0.24952914851209257,human,S2
1000.0,23.0,23.0,5.354126134736338,3.1354942159291497,3.0472074597737917,0.24952914851209257,human,S3
1000.0,37.0,23.0,5.354126134736338,3.6109179126442243,3.0472074597737917,0.24952914851209257,human,S4
1200.0,17.0,42.0,13.583077707206124,2.833213344056216,3.5825023567741403,0.3228420483756259,human,S1
1200.0,30.0,42.0,13.583077707206124,3.4011973816621555,3.5825023567741403,0.3228420483756259,human,S2
1200.0,41.0,42.0,13.583077707206124,3.713572066704308,3.5825023567741403,0.3228420483756259,human,S3
1200.0,80.0,42.0,13.583077707206124,4.382026634673881,3.5825023567741403,0.3228420483756259,human,S4
1250.0,19.0,56.5,24.934915279583365,2.9444389791664403,3.7779426990950458,0.3997674508035111,human,S1
1250.0,40.0,56.5,24.934915279583365,3.6888794541139363,3.7779426990950458,0.3997674508035111,human,S2
1250.0,37.0,56.5,24.934915279583365,3.6109179126442243,3.7779426990950458,0.3997674508035111,human,S3
1250.0,130.0,56.5,24.934915279583365,4.867534450455582,3.7779426990950458,0.3997674508035111,human,S4
1300.0,29.0,43.0,7.371114795831994,3.367295829986474,3.7283070910132814,0.18634581589024823,human,S1
1300.0,46.0,43.0,7.371114795831994,3.828641396489095,3.7283070910132814,0.18634581589024823,human,S2
1300.0,54.0,43.0,7.371114795831994,3.9889840465642745,3.7283070910132814,0.18634581589024823,human,S3
1350.0,59.0,87.33333333333333,25.87362449376671,4.07753744390572,4.390298153465361,0.27309933336017805,human,S1
1350.0,64.0,87.33333333333333,25.87362449376671,4.1588830833596715,4.390298153465361,0.27309933336017805,human,S2
1350.0,139.0,87.33333333333333,25.87362449376671,4.9344739331306915,4.390298153465361,0.27309933336017805,human,S3
1400.0,133.0,138.0,5.0,4.890349128221754,4.92659687924083,0.036247751019076624,human,S1
1400.0,143.0,138.0,5.0,4.962844630259907,4.92659687924083,0.036247751019076624,human,S2
250.0,40.73937314180785,38.88345605078316,5.3467210343424725,3.70719502388126,3.5976237467850907,0.11008655301904333,3000_delayed,arch01
250.0,30.39336528831111,38.88345605078316,5.3467210343424725,3.414224337497784,3.5976237467850907,0.11008655301904333,3000_delayed,arch02
250.0,30.049193650388816,38.88345605078316,5.3467210343424725,3.402835827023479,3.5976237467850907,0.11008655301904333,3000_delayed,arch03
250.0,51.52284602334751,38.88345605078316,5.3467210343424725,3.942025321406766,3.5976237467850907,0.11008655301904333,3000_delayed,arch04
250.0,30.28689300975685,38.88345605078316,5.3467210343424725,3.4107150449928114,3.5976237467850907,0.11008655301904333,3000_delayed,arch05
250.0,82.08593317683523,38.88345605078316,5.3467210343424725,4.40776666410283,3.5976237467850907,0.11008655301904333,3000_delayed,arch06
250.0,33.411531204165435,38.88345605078316,5.3467210343424725,3.50890108603279,3.5976237467850907,0.11008655301904333,3000_delayed,arch07
250.0,29.817721779863934,38.88345605078316,5.3467210343424725,3.3951029073524395,3.5976237467850907,0.11008655301904333,3000_delayed,arch08
250.0,24.857175339535605,38.88345605078316,5.3467210343424725,3.2131464569212884,3.5976237467850907,0.11008655301904333,3000_delayed,arch09
250.0,35.67052789381929,38.88345605078316,5.3467210343424725,3.5743247986394593,3.5976237467850907,0.11008655301904333,3000_delayed,arch10
300.0,37.60904973347802,35.70140013862105,2.7683871383435705,3.627244705837016,3.55372164301871,0.06533536580010936,3000_delayed,arch01
300.0,33.748588393531406,35.70140013862105,2.7683871383435705,3.5189385910669864,3.55372164301871,0.06533536580010936,3000_delayed,arch02
300.0,31.207577508053784,35.70140013862105,2.7683871383435705,3.44066093417545,3.55372164301871,0.06533536580010936,3000_delayed,arch03
300.0,34.2692676511364,35.70140013862105,2.7683871383435705,3.534248965688419,3.55372164301871,0.06533536580010936,3000_delayed,arch04
300.0,36.7348920881094,35.70140013862105,2.7683871383435705,3.6037270414909393,3.55372164301871,0.06533536580010936,3000_delayed,arch05
300.0,59.0302817313763,35.70140013862105,2.7683871383435705,4.0780505619224945,3.55372164301871,0.06533536580010936,3000_delayed,arch06
300.0,35.65429111141884,35.70140013862105,2.7683871383435705,3.5738695073984195,3.55372164301871,0.06533536580010936,3000_delayed,arch07
300.0,30.121799762924955,35.70140013862105,2.7683871383435705,3.405249154231706,3.55372164301871,0.06533536580010936,3000_delayed,arch08
