condition,snr,correct,correct_mean,correct_sem,model,subject
reverberant,-24.0,0.08776595744680851,0.08218085106382979,0.002583120972399552,50,arch01
reverberant,-24.0,0.0851063829787234,0.08218085106382979,0.002583120972399552,50,arch02
reverberant,-24.0,0.07712765957446809,0.08218085106382979,0.002583120972399552,50,arch03
reverberant,-24.0,0.06382978723404255,0.08218085106382979,0.002583120972399552,50,arch04
reverberant,-24.0,0.08244680851063829,0.08218085106382979,0.002583120972399552,50,arch05
reverberant,-24.0,0.07712765957446809,0.08218085106382979,0.002583120972399552,50,arch06
reverberant,-24.0,0.08776595744680851,0.08218085106382979,0.002583120972399552,50,arch07
reverberant,-24.0,0.0797872340425532,0.08218085106382979,0.002583120972399552,50,arch08
reverberant,-24.0,0.09042553191489362,0.08218085106382979,0.002583120972399552,50,arch09
reverberant,-24.0,0.09042553191489362,0.08218085106382979,0.002583120972399552,50,arch10
reverberant,-18.0,0.12234042553191489,0.09069148936170213,0.005236503342419275,50,arch01
reverberant,-18.0,0.09308510638297872,0.09069148936170213,0.005236503342419275,50,arch02
reverberant,-18.0,0.09308510638297872,0.09069148936170213,0.005236503342419275,50,arch03
reverberant,-18.0,0.0797872340425532,0.09069148936170213,0.005236503342419275,50,arch04
reverberant,-18.0,0.08776595744680851,0.09069148936170213,0.005236503342419275,50,arch05
reverberant,-18.0,0.07446808510638298,0.09069148936170213,0.005236503342419275,50,arch06
reverberant,-18.0,0.11702127659574468,0.09069148936170213,0.005236503342419275,50,arch07
reverberant,-18.0,0.08244680851063829,0.09069148936170213,0.005236503342419275,50,arch08
reverberant,-18.0,0.07712765957446809,0.09069148936170213,0.005236503342419275,50,arch09
reverberant,-18.0,0.0797872340425532,0.09069148936170213,0.005236503342419275,50,arch10
reverberant,-12.0,0.24202127659574468,0.15132978723404256,0.012794552784552196,50,arch01
reverberant,-12.0,0.1622340425531915,0.15132978723404256,0.012794552784552196,50,arch02
reverberant,-12.0,0.13297872340425532,0.15132978723404256,0.012794552784552196,50,arch03
reverberant,-12.0,0.125,0.15132978723404256,0.012794552784552196,50,arch04
