condition,threshold,model,subject
anechoic,-4.758329670329671,50,arch01
anechoic,-5.094211764705883,50,arch02
anechoic,-4.5466046511627916,50,arch03
anechoic,-0.8581621621621638,50,arch04
anechoic,-4.494821052631579,50,arch05
anechoic,-4.21008,50,arch06
anechoic,-0.7110000000000003,50,arch07
anechoic,-4.036682926829268,50,arch08
anechoic,-6.144000000000001,50,arch09
anechoic,2.5325217391304338,50,arch10
anechoic,-6.928,320,arch01
anechoic,-7.9167272727272735,320,arch02
anechoic,-7.992188976377953,320,arch03
anechoic,-5.153142857142859,320,arch04
anechoic,-7.420433121019109,320,arch05
anechoic,-7.241142857142857,320,arch06
anechoic,-2.2451764705882358,320,arch07
anechoic,-8.722285714285714,320,arch08
anechoic,-8.48878195488722,320,arch09
anechoic,-1.9594146341463423,320,arch10
anechoic,-13.2532987012987,1000,arch01
anechoic,-12.494608695652175,1000,arch02
anechoic,-11.941270588235295,1000,arch03
anechoic,-9.163022222222223,1000,arch04
anechoic,-12.862902857142856,1000,arch05
anechoic,-12.626162162162164,1000,arch06
anechoic,-8.50005633802817,1000,arch07
anechoic,-12.113142857142858,1000,arch08
anechoic,-13.28407100591716,1000,arch09
anechoic,-7.393109826589596,1000,arch10
anechoic,-12.78981818181818,3000,arch01
anechoic,-12.030337662337661,3000,arch02
anechoic,-13.047860869565216,3000,arch03
anechoic,-8.551924528301887,3000,arch04
anechoic,-12.438950226244344,3000,arch05
anechoic,-13.05295238095238,3000,arch06
anechoic,-8.124417910447761,3000,arch07
anechoic,-12.707356097560975,3000,arch08
anechoic,-13.314761421319798,3000,arch09
anechoic,-6.888365482233502,3000,arch10
reverberant,3.9802352941176466,50,arch01
reverberant,7.583199999999998,50,arch02
reverberant,5.724521739130432,50,arch03
reverberant,8.524799999999997,50,arch04
reverberant,7.983199999999998,50,arch05
reverberant,7.3507368421052615,50,arch06
reverberant,8.86179310344827,50,arch07
reverberant,7.844266666666664,50,arch08
reverberant,6.603999999999997,50,arch09
reverberant,14.660571428571426,50,arch10
reverberant,5.3279999999999985,320,arch01
reverberant,4.820776119402984,320,arch02
reverberant,4.0148059701492524,320,arch03
reverberant,5.855466666666667,320,arch04
reverberant,4.965966101694914,320,arch05
reverberant,4.637399999999999,320,arch06
reverberant,8.306322580645162,320,arch07
reverberant,5.746559999999997,320,arch08
reverberant,4.319333333333333,320,arch09
reverberant,11.70920930232558,320,arch10
reverberant,-6.36641584158416,1000,arch01
reverberant,-4.5157500000000015,1000,arch02
reverberant,-5.453250000000003,1000,arch03
reverberant,-3.1976296296296307,1000,arch04
reverberant,-5.477731343283585,1000,arch05
reverberant,-3.6380689655172427,1000,arch06
reverberant,-2.1876,1000,arch07
reverberant,-5.5798260869565235,1000,arch08
reverberant,-6.186352941176473,1000,arch09
reverberant,0.42577777777777687,1000,arch10
reverberant,-7.1584,3000,arch01
reverberant,-4.977103448275862,3000,arch02
reverberant,-6.452756756756757,3000,arch03
reverberant,-2.8824201680672275,3000,arch04
reverberant,-6.558400000000001,3000,arch05
reverberant,-6.521435897435898,3000,arch06
reverberant,-1.8162352941176474,3000,arch07
reverberant,-5.646276923076924,3000,arch08
reverberant,-7.736064000000001,3000,arch09
reverberant,-0.9055748031496069,3000,arch10
